LIT101 LIT301 LIT401 LS601 LS602
859.626002025 470.797566836 583.781290985 661.443221281 491.545655873
857.357261284 470.498770539 585.513590088 663.280258318 491.729359577
855.070224247 470.193214984 587.263592917 665.13211017 491.914544762
852.78318721 469.887659428 589.013799444 666.980258319 492.099359577
850.496150173 469.582103873 590.763802273 668.83211017 492.284544762
848.209113136 469.276548317 592.5140088 670.680258318 492.469359577
845.922076099 468.970992761 594.264011629 672.53211017 492.654544762
843.635039061 468.665437206 596.014014458 674.383962022 492.839729947
841.348002024 468.35988165 597.764220986 676.23211017 493.024544762
839.060964987 468.054326095 599.514223815 678.083962022 493.209729947
836.77392795 467.748770539 601.264430342 679.93211017 493.394544762
834.486890913 467.443214984 603.014433171 681.783962022 493.579729947
832.199853876 467.137659428 604.764436 683.635813874 493.764915133
829.912816839 466.832103872 606.514642527 685.483962022 493.949729947
827.625779802 466.526548317 608.264645356 687.335813874 494.134915133
825.338742765 466.220992761 610.014851884 689.183962022 494.319729947
823.051705728 465.915437206 611.764854713 691.035813874 494.504915133
820.764668691 465.60988165 613.51506124 692.883962023 494.689729947
818.477631654 465.304326095 615.265064069 694.735813874 494.874915132
816.190594617 464.998770539 617.015066898 696.587665726 495.060100318
813.90355758 464.693214984 618.765273425 698.435813875 495.244915132
811.616520543 464.387659428 620.515276254 700.287665726 495.430100318
809.329483506 464.082103872 622.265482781 702.135813875 495.614915132
807.042446469 463.776548317 624.01548561 703.987665726 495.800100318
804.755409432 463.470992761 625.76548844 705.839517578 495.985285503
802.468372395 463.165437206 627.515694967 707.687665727 496.170100318
800.181335358 462.85988165 629.265697796 709.539517578 496.355285503
797.894298321 462.554326095 631.015904323 711.387665727 496.540100317
795.607261284 462.248770539 632.765907152 713.239517578 496.725285503
793.320224247 461.943214983 634.516113679 715.087665727 496.910100317
791.03318721 461.637659428 636.266116508 716.939517579 497.095285503
788.746150173 461.332103872 638.016119337 718.79136943 497.280470688
786.459113136 461.026548317 639.766325865 720.639517579 497.465285503
784.172076099 460.720992761 641.516328694 722.49136943 497.650470688
781.885039061 460.415437206 643.266535221 724.339517579 497.835285503
779.598002024 460.10988165 645.01653805 726.191369431 498.020470688
777.310964987 459.804326094 646.766540879 728.043221282 498.205655873
775.02392795 461.647548317 646.672302962 729.891369431 496.58306328
772.736890913 463.499400168 646.570453939 731.743221282 494.916396614
770.449853876 465.35125202 646.468808615 733.591369431 493.249359577
768.162816839 467.203103872 646.366959592 735.443221283 491.58269291
765.875779802 469.054955724 646.265314267 737.291369431 489.916026243
763.588742765 470.906807576 646.163465245 739.143221283 488.249359577
761.301705728 472.758659428 646.061616222 740.995073134 488.056766984
759.014668691 474.610511279 645.959970897 742.843221283 488.241952169
756.727631654 476.462363131 645.858121875 744.695073135 488.427137354
754.440594617 478.314214983 645.75647655 746.543221283 488.611952169
752.15355758 480.166066835 645.654627527 748.395073135 488.797137354
749.866520543 482.017918687 645.552778505 750.246924986 488.982322539
747.579483506 482.583955724 646.554836884 752.095073135 489.167137354
745.292446469 482.278400168 648.304839713 753.946924987 489.352322539
743.005409432 481.972844613 650.05504624 755.795073135 489.537507725
740.718372395 481.667289057 651.805049069 757.646924987 489.72269291
738.431335358 481.361733501 653.555255596 759.495073135 489.907878095
736.144298321 481.056177946 655.305258425 761.346924987 490.09306328
733.857261284 480.75062239 657.055261254 763.198776839 490.278248465
731.570224247 480.445066835 658.805467782 765.046924987 490.46306328
729.28318721 480.139511279 660.555470611 766.898776839 490.648248465
726.996150173 479.833955724 662.305677138 768.746924987 490.83306328
724.709113136 479.528400168 664.055679967 770.598776839 491.018248465
722.422076099 479.222844613 665.805682796 772.45062869 491.20343365
720.135039062 478.917289057 667.555889323 774.298776839 491.388618835
717.848002025 478.611733501 669.305892152 776.150628691 491.573804021
715.560964988 478.306177946 671.056098679 777.998776839 491.758989206
713.273927951 478.00062239 672.806101509 779.850628691 491.944174391
710.986890914 477.695066835 674.556308036 781.698776839 492.128989206
708.699853877 477.389511279 676.306310865 783.550628691 492.314174391
706.41281684 477.083955724 678.056313694 785.402480543 492.499359576
704.125779803 476.778400168 679.806520221 787.250628691 492.684174391
701.838742765 476.472844612 681.55652305 789.102480543 492.869359576
699.551705728 476.167289057 683.306729577 790.950628691 493.054544761
697.264668691 475.861733501 685.056732406 792.802480543 493.239729946
694.977631654 475.556177946 686.806735235 794.654332395 493.424915132
692.690594617 475.25062239 688.556941763 796.502480543 493.610100317
690.40355758 474.945066835 690.306944592 798.354332395 493.795285502
688.116520543 474.639511279 692.057151119 800.202480543 493.980100317
685.829483506 474.333955723 693.807153948 802.054332395 494.165285502
683.542446469 474.028400168 695.557360475 803.902480543 494.350100317
681.255409432 473.722844612 697.307363304 805.754332395 494.535285502
678.968372395 473.417289057 699.057366133 807.606184247 494.720470687
676.681335358 473.111733501 700.80757266 809.454332395 494.905655872
674.394298321 472.806177946 702.55757549 811.306184247 495.090841057
672.107261284 472.50062239 704.307782017 813.154332395 495.276026242
669.820224247 472.195066835 706.057784846 815.006184247 495.461211428
667.53318721 471.889511279 707.807787675 816.858036099 495.646396613
665.246150173 473.732733501 707.713549758 818.706184247 494.02380402
662.959113136 475.584585353 707.611700735 820.558036099 492.357137353
660.672076099 477.436437205 707.51005541 822.406184247 490.690100316
658.385039062 479.288289057 707.408206388 824.258036099 489.02343365
656.098002025 481.140140908 707.306357365 826.109887951 487.356766983
653.810964988 482.99199276 707.204712041 827.958036099 485.690100316
651.523927951 484.843844612 707.102863018 829.809887951 485.497507724
649.236890914 486.695696464 707.001217693 831.658036099 485.682692909
646.949853877 488.547548316 706.899368671 833.509887951 485.867878094
644.66281684 490.399400168 706.797723346 835.358036099 486.052692909
642.375779803 492.251252019 706.695874323 837.209887951 486.237878094
640.088742766 494.103103871 706.594025301 839.061739803 486.423063279
637.801705729 494.669140908 707.59608368 840.909887951 486.607878094
635.514668692 494.363585353 709.346086509 842.761739803 486.793063279
633.227631655 494.058029797 711.096293036 844.609887951 486.978248464
630.940594618 493.752474242 712.846295865 846.461739803 487.16343365
628.653557581 493.446918686 714.596298694 848.313591655 487.348618835
626.366520544 493.14136313 716.346505221 850.161739803 487.53380402
624.079483507 492.835807575 718.09650805 852.013591655 487.718989205
621.79244647 492.530252019 719.846714578 853.861739803 487.90380402
619.505409432 492.224696464 721.596717407 855.713591655 488.088989205
617.218372395 491.919140908 723.346923934 857.561739803 488.27380402
614.931335358 491.613585353 725.096926763 859.413591655 488.458989205
612.644298321 491.308029797 726.846929592 861.265443507 488.64417439
610.357261284 491.002474241 728.597136119 863.113591655 488.829359575
608.070224247 490.696918686 730.347138948 864.965443507 489.01454476
605.78318721 490.39136313 732.097345475 866.813591655 489.199729946
603.496150173 490.085807575 733.847348304 868.665443507 489.384915131
601.209113136 489.780252019 735.597351134 870.517295359 489.570100316
598.922076099 489.474696464 737.347557661 872.365443507 489.754915131
596.635039062 489.169140908 739.09756049 874.217295359 489.940100316
594.348002025 488.863585353 740.847767017 876.065443507 490.124915131
592.060964988 488.558029797 742.597769846 877.917295359 490.310100316
589.773927951 488.252474241 744.347976373 879.765443507 490.495285501
587.486890914 487.946918686 746.097979202 881.617295359 490.680470686
585.199853877 487.64136313 747.847982031 883.469147211 490.865655871
582.91281684 487.335807575 749.598188559 885.317295359 491.050841057
580.625779803 487.030252019 751.348191388 887.169147211 491.236026242
578.338742766 486.724696464 753.098397915 889.017295359 491.420841057
576.051705729 486.419140908 754.848400744 890.869147211 491.606026242
573.764668692 486.113585352 756.598403573 892.720999063 491.791211427
571.477631655 485.808029797 758.3486101 894.569147211 491.976026242
569.190594618 485.502474241 760.098612929 896.420999063 492.161211427
