LIT101 LIT301 LIT401 LS601 LS602
237.82304702 873.308300474 714.450011242 414.421834637 946.416703686
237.82304702 871.172467141 716.182310345 416.258871674 946.60040739
237.82304702 869.015059733 717.932313174 418.110723526 946.785592575
237.82304702 866.857652326 719.682519701 419.958871674 946.97040739
237.82304702 864.700244919 721.43252253 421.810723526 947.155592575
237.82304702 862.542837511 723.182729058 423.658871674 947.34040739
237.82304702 860.385430104 724.932731887 425.510723526 947.525592575
237.82304702 858.228022696 726.682734716 427.362575377 947.710777761
237.82304702 856.070615289 728.432941243 429.210723526 947.895592576
237.82304702 853.913207882 730.182944072 431.062575377 948.080777761
237.82304702 851.755800474 731.933150599 432.910723526 948.265592576
237.82304702 849.598393067 733.683153428 434.762575377 948.450777761
237.82304702 847.440985659 735.433156258 436.614427229 948.635962946
237.82304702 845.283578252 737.183362785 438.462575377 948.820777761
237.82304702 843.126170845 738.933365614 440.314427229 949.005962946
237.82304702 840.968763437 740.683572141 442.162575377 949.190777761
237.82304702 838.81135603 742.43357497 444.014427229 949.375962946
237.82304702 836.653948622 744.183781497 445.862575377 949.560777761
237.82304702 834.496541215 745.933784326 447.714427229 949.745962946
237.82304702 832.339133808 747.683787155 449.566279081 949.931148131
237.82304702 830.1817264 749.433993683 451.414427229 950.115962946
237.82304702 828.024318993 751.183996512 453.266279081 950.301148132
237.82304702 825.866911585 752.934203039 455.114427229 950.485962946
237.82304702 823.709504178 754.684205868 456.966279081 950.671148132
237.82304702 821.552096771 756.434208697 458.818130933 950.856333317
237.82304702 819.394689363 758.184415224 460.666279081 951.041148132
237.82304702 817.237281956 759.934418053 462.518130933 951.226333317
237.82304702 815.079874548 761.68462458 464.366279081 951.411148132
237.82304702 812.922467141 763.434627409 466.218130932 951.596333317
237.82304702 810.765059734 765.184833937 468.066279081 951.781148132
237.82304702 808.607652326 766.934836766 469.918130932 951.966333317
237.82304702 806.450244919 768.684839595 471.769982784 952.151518502
237.82304702 804.292837511 770.435046122 473.618130932 952.336333317
237.82304702 802.135430104 772.185048951 475.469982784 952.521518502
237.82304702 799.978022697 773.935255478 477.318130932 952.706333317
237.82304702 797.820615289 775.685258307 479.169982784 952.891518502
237.82304702 795.663207882 777.435261136 481.021834636 953.076703688
237.82304702 795.654578252 777.341023219 482.869982784 951.454111095
237.82304702 795.654578252 777.239174197 484.721834636 949.787444428
237.82304702 795.654578252 777.137528872 486.569982784 948.120407391
237.82304702 795.654578252 777.035679849 488.421834636 946.453740725
237.82304702 795.654578252 776.934034525 490.269982784 944.787074058
237.82304702 795.654578252 776.832185502 492.121834636 943.120407391
237.82304702 795.654578252 776.730336479 493.973686488 942.927814799
237.82304702 795.654578252 776.628691155 495.821834636 943.112999984
237.82304702 795.654578252 776.526842132 497.673686488 943.298185169
237.82304702 795.654578252 776.425196807 499.521834636 943.482999984
237.82304702 795.654578252 776.323347785 501.373686488 943.66818517
237.82304702 795.654578252 776.221498762 503.225538339 943.853370355
237.82304702 794.368763437 777.223557141 505.073686487 944.03818517
237.82304702 792.21135603 778.97355997 506.925538339 944.223370355
237.82304702 790.053948623 780.723766497 508.773686487 944.40855554
237.82304702 787.896541215 782.473769327 510.625538339 944.593740725
237.82304702 785.739133808 784.223975854 512.473686487 944.778925911
237.82304702 783.581726401 785.973978683 514.325538339 944.964111096
237.82304702 781.424318993 787.723981512 516.177390191 945.149296281
237.82304702 779.266911586 789.474188039 518.025538339 945.334111096
237.82304702 777.109504178 791.224190868 519.877390191 945.519296281
