LIT101 LIT301 LIT401 LS601 LS602
968.475222252 587.510755669 971.862453509 785.846836622 873.452361338
968.475222252 575.645014928 981.477284167 796.217206993 874.489398375
968.475222252 562.700570483 991.977301142 807.328318104 875.600509486
968.475222252 549.756126039 1002.47731812 818.439429215 876.711620597
968.475222252 536.811681595 1012.97733509 829.550540326 877.822731708
968.475222252 526.887607521 1020.88475947 840.661651437 878.933842819
968.475222252 526.024644558 1021.01440608 851.772762548 880.044953931
968.475222252 525.377422335 1020.9588675 862.883873659 881.156065042
968.475222252 524.730200113 1020.90332892 873.99498477 882.267176153
968.475222252 523.86723715 1021.03297552 885.106095881 883.378287264
968.475222252 523.435755669 1020.79225176 896.217206993 884.489398375
968.475222252 522.572792706 1020.92189836 907.328318104 885.600509486
968.475222252 521.709829743 1021.05154496 918.439429215 886.711620597
968.475222252 521.278348261 1020.8108212 929.550540326 887.822731708
968.475222252 520.415385298 1020.9404678 940.661651437 888.933842819
968.475222252 519.552422335 1021.07011441 951.772762548 890.04495393
968.475222252 519.120940854 1020.82939064 962.883873659 891.156065042
968.475222252 518.257977891 1020.95903725 973.99498477 892.267176153
968.475222252 517.395014928 1021.08868385 985.106095881 893.378287264
968.475222252 516.963533446 1020.84796008 996.217206993 894.489398375
968.475222252 516.100570483 1020.97760669 1007.3283181 895.600509486
968.475222252 515.237607521 1021.1174382 1018.25424403 896.711620597
968.475222252 514.806126039 1020.87671443 1029.36535514 897.822731708
968.475222252 513.943163076 1021.00636103 1040.47646625 898.933842819
968.475222252 513.080200113 1021.13600764 1051.58757736 900.04495393
968.475222252 512.648718632 1020.89528387 1062.69868847 901.156065042
968.475222252 511.785755669 1021.02493048 1073.80979959 902.267176153
968.475222252 511.354274187 1020.78420671 1084.9209107 903.378287264
968.475222252 510.491311224 1020.91385332 1096.03202181 904.489398375
968.475222252 509.628348261 1021.04349992 1107.14313292 905.600509486
968.475222252 509.19686678 1020.80277615 1118.25424403 906.711620597
968.475222252 508.333903817 1020.93242276 1129.36535514 907.822731708
968.475222252 507.470940854 1021.06206936 1140.47646625 908.933842819
968.475222252 507.039459372 1020.8213456 1151.58757736 910.04495393
968.475222252 506.176496409 1020.9509922 1162.69868847 911.156065041
968.475222252 505.313533446 1021.08063881 1173.80979959 912.267176153
968.475222252 504.882051965 1020.83991504 1184.9209107 913.378287264
968.475222252 504.019089002 1020.96956164 1196.03202181 914.489398375
968.475222252 503.156126039 1021.09920825 1207.14313292 915.600509486
968.475222252 502.724644558 1020.85848448 1218.25424403 916.711620597
968.475222252 501.861681595 1020.98813109 1229.36535514 917.822731708
968.475222252 500.998718632 1021.12796259 1240.29128107 918.933842819
968.475222252 500.56723715 1020.88723883 1251.40239218 920.04495393
968.475222252 499.704274187 1021.01688543 1262.51350329 921.156065042
968.475222252 499.057051965 1020.96134685 1273.6246144 922.267176153
968.475222252 498.409829743 1020.90580827 1284.73572551 923.378287264
968.475222252 497.54686678 1021.03545488 1295.84683662 924.489398375
968.475222252 497.115385298 1020.79473111 1306.95794773 925.600509486
968.475222252 496.252422335 1020.92437771 1318.06905884 926.711620597
968.475222252 495.389459372 1021.05402432 1329.18016996 927.822731708
968.475222252 494.957977891 1020.81330055 1340.29128107 928.933842819
968.475222252 494.095014928 1020.94294716 1351.40239218 930.04495393
968.475222252 493.232051965 1021.07259376 1362.51350329 931.156065042
968.475222252 492.800570483 1020.83187 1373.6246144 932.267176153
968.475222252 491.937607521 1020.9615166 1384.73572551 933.378287264
968.475222252 491.074644558 1021.09116321 1395.84683662 934.489398375
968.475222252 490.643163076 1020.85043944 1406.95794773 935.600509486
965.502074103 492.187607521 1020.98008604 1418.06905884 936.711620597
951.779851881 502.435755669 1021.10973265 1429.18016996 937.822731708
938.057629659 513.115385298 1020.86900888 1440.29128107 938.933842819
