LIT101 LIT301 LIT401 LS601 LS602
322.798726343 226.726463752 564.09692034 421.810046206 300.969920446
320.529985602 228.563500789 563.995886109 423.647083243 301.153624149
318.242948565 230.415352641 563.894037087 425.498935095 301.338809334
315.955911528 232.267204493 563.792391762 427.347083243 301.523624149
313.668874491 234.119056345 563.690542739 429.198935095 301.708809334
311.381837454 235.970908197 563.588897415 431.047083243 301.893624149
309.094800417 237.822760048 563.487048392 432.898935095 302.078809334
306.80776338 239.6746119 563.385199369 434.750786947 302.263994519
304.520726343 241.526463752 563.283554045 436.598935095 302.448809334
302.233689306 243.378315604 563.181705022 438.450786946 302.633994519
299.946652269 245.005797085 563.27265229 440.298935095 302.818809334
297.659615232 245.002278567 564.76339586 442.150786946 303.003994519
