LIT101 LIT301 LIT401 LS601 LS602
612.555094386 417.091725448 947.535633342 691.188533718 581.684146454
599.747686979 415.596355077 957.150464 701.558904089 582.721183491
586.025464756 413.763021744 967.650480975 712.6700152 583.832294602
572.303242534 411.929688411 978.15049795 723.781126311 584.943405713
558.581020312 410.096355077 988.650514925 734.892237422 586.054516824
544.85879809 408.263021744 999.1505319 746.003348533 587.165627935
531.136575867 406.429688411 1009.65054887 757.114459644 588.276739046
517.414353645 417.10931804 1009.40982511 768.225570755 580.498961269
503.692131423 428.220429151 1008.79873097 779.336681867 578.647109417
489.969909201 431.996355077 1014.48393313 790.447792978 579.758220528
476.247686979 434.90931804 1020.90987603 801.558904089 580.869331639
462.525464756 445.157466188 1021.03952264 812.6700152 581.98044275
448.803242534 455.837095818 1020.79879887 823.781126311 583.091553861
435.081020312 466.085243966 1020.92844548 834.892237422 584.202664972
421.35879809 476.333392114 1021.05809208 846.003348533 585.313776084
407.636575867 487.013021744 1020.81736831 857.114459644 586.424887195
393.914353645 497.261169892 1020.94701492 868.225570755 587.535998306
380.192131423 507.50931804 1021.07666152 879.336681867 588.647109417
366.469909201 518.18894767 1020.83593776 890.447792978 589.758220528
352.747686979 528.437095818 1020.96558436 901.558904089 590.869331639
339.025464756 538.685243966 1021.09523097 912.6700152 591.98044275
325.303242534 549.364873596 1020.8646921 923.595941126 593.091553861
311.581020312 559.613021744 1020.99433871 934.707052237 594.202664972
297.85879809 569.861169892 1021.12398531 945.818163348 595.313776084
284.136575867 580.540799522 1020.88326155 956.929274459 596.424887195
270.414353645 590.78894767 1021.01290815 968.04038557 597.535998306
256.692131423 601.037095818 1021.14255476 979.151496681 598.647109417
242.969909201 611.716725448 1020.90183099 990.262607793 599.758220528
229.247686979 621.964873596 1021.03147759 1001.3737189 600.869331639
215.525464756 632.644503225 1020.79075383 1012.48483001 601.98044275
