LIT101 LIT301 LIT401 LS601 LS602
986.90548788 578.429851778 614.667065255 462.728910715 305.990405895
986.90548788 566.564111038 624.281895913 473.099281086 307.027442932
986.90548788 553.619666593 634.781912888 484.210392197 308.138554043
986.90548788 540.675222149 645.281929863 495.321503308 309.249665154
986.90548788 527.730777704 655.781946838 506.432614419 310.360776265
986.90548788 514.78633326 666.281963812 517.54372553 311.471887376
986.90548788 501.841888816 676.781980787 528.654836641 312.582998487
986.90548788 501.410407334 676.541257021 539.765947752 304.805220709
986.90548788 501.410407334 675.930162885 550.877058864 302.953368857
986.90548788 494.075222149 681.615365045 561.988169975 304.064479969
978.214747139 488.167814741 692.11538202 573.099281086 305.17559108
964.492524917 486.334481408 702.615398995 584.210392197 306.286702191
950.770302695 484.501148075 713.11541597 595.321503308 307.397813302
937.048080473 482.667814741 723.615432944 606.432614419 308.508924413
923.32585825 480.834481408 734.115449919 617.54372553 309.620035524
909.603636028 491.514111038 733.874726153 628.654836641 301.842257746
895.881413806 502.625222149 733.263632017 639.765947752 299.990405895
882.159191584 506.401148075 738.948834177 650.877058864 301.101517006
868.436969362 504.567814741 749.448851152 661.988169975 302.212628117
854.714747139 502.734481408 759.948868127 673.099281086 303.323739228
840.992524917 500.901148075 770.448885102 684.210392197 304.434850339
827.270302695 499.067814741 780.959086979 695.136318123 305.54596145
813.548080473 497.234481408 791.459103954 706.247429234 306.657072561
799.82585825 507.914111038 791.218380188 717.358540345 298.879294783
786.103636028 519.025222149 790.607286051 728.469651456 297.027442932
772.381413806 522.801148075 796.292488211 739.580762567 298.138554043
758.659191584 520.967814741 806.792505186 750.691873678 299.249665154
744.936969362 519.134481408 817.292522161 761.802984789 300.360776265
731.214747139 517.301148075 827.792539136 772.914095901 301.471887376
717.492524917 515.467814741 838.292556111 784.025207012 302.582998487
