x,brp,lse,egl,crowds,nand,rsp,pbn,x1
0.000977,56126.04629,2139.097746,4403.299585,11600000,7916431.418,4407568.576,47117.10181,0.000977
0.001953125,53585.49525,2059.149581,4032.074358,11600000,7916431.418,4407568.576,31127.95092,0.001953125
0.00390625,33704.91769,2059.149581,3824.967392,11600000,7916431.418,4407568.576,31127.95092,0.00390625
0.0078125,25956.07381,2059.149581,3808.737725,11600000,7812110.88,4407568.576,31127.95092,0.0078125
0.015625,18886.19043,2059.149581,3790.847372,11400000,7636079.757,4394725.386,31127.95092,0.015625
0.03125,10537.61053,2059.149581,3593.859432,11300000,7613265.904,4296129.916,31127.95092,0.03125
0.0625,12272.79976,2059.149581,3580.198706,11300000,7613265.904,4254098.314,31127.95092,0.0625
0.125,8532.282629,2059.149581,5448.437617,11200000,7613265.904,4233108.66,31127.95092,0.125
0.25,7443.881569,2059.149581,4387.750169,11100000,7613265.904,4230779.691,26559.6221,0.25
0.5,7443.881569,2059.149581,4486.859869,10700000,7466565.128,405570.7298,26559.6221,0.5
1,7407.813803,2059.149581,5804.945424,10100000,3367108.046,118734.5259,,
2,5200.34012,2059.149581,6291.501661,10100000,3367108.046,118734.5259,,
4,21962.74772,2059.149581,6291.501661,10100000,3367108.046,118734.5259,,
8,21962.74772,2059.149581,6291.501661,10100000,3367108.046,118734.5259,,
16,21962.74772,2059.149581,6291.501661,10100000,3367108.046,118153.8464,,
32,21962.74772,25310.43246,6291.501661,10100000,3367108.046,118153.8464,,
64,21962.74772,25310.43246,6291.501661,10100000,3367108.046,118153.8464,,
128,21962.74772,25310.43246,6291.501661,10100000,3367108.046,118153.8464,,
256,21962.74772,25310.43246,6291.501661,10100000,3367108.046,118153.8464,,
512,21962.74772,25310.43246,6291.501661,10100000,3367108.046,118153.8464,,
1024,21962.74772,25310.43246,6291.501661,10100000,3367108.046,118153.8464,,
