LIT101 LIT301 LIT401 LS601 LS602
653.661213174 650.573600601 653.825550182 654.915730888 650.707142881
653.661213174 650.152906157 654.166698885 655.278693851 650.743439177
653.661213174 649.721424675 654.516699451 655.649064221 650.780476214
653.661213174 649.289943194 654.866700017 656.019434592 650.817513251
653.661213174 648.858461712 655.216700583 656.389804962 650.854550288
653.661213174 648.426980231 655.566701148 656.760175333 650.891587325
653.661213174 647.99549875 655.916701714 657.130545703 650.928624362
653.661213174 647.564017268 656.266804129 657.499064221 650.965476214
653.661213174 647.132535787 656.616804695 657.869434592 651.002513251
653.661213174 646.701054305 656.966805261 658.239804962 651.039550288
653.661213174 646.269572824 657.316805827 658.610175333 651.076587325
653.661213174 645.838091342 657.666806392 658.980545703 651.113624362
653.661213174 645.406609861 658.016806958 659.350916073 651.150661399
653.661213174 644.975128379 658.366909373 659.719434592 651.187513251
653.661213174 644.543646898 658.716909939 660.089804962 651.224550288
653.661213174 644.112165416 659.066910505 660.460175332 651.261587325
653.661213174 643.680683935 659.416911071 660.830545703 651.298624362
653.661213174 643.249202453 659.766911636 661.200916073 651.335661399
653.661213174 642.817720972 660.116912202 661.571286444 651.372698436
653.661213174 642.38623949 660.467014617 661.939804962 651.409550288
653.661213174 641.954758009 660.817015183 662.310175332 651.446587325
653.661213174 641.523276527 661.167015749 662.680545703 651.483624362
653.661213174 641.091795046 661.517016315 663.050916073 651.520661399
653.661213174 640.660313564 661.867016881 663.421286443 651.557698436
653.661213174 640.228832083 662.217017446 663.791656814 651.594735473
653.661213174 639.797350601 662.567119861 664.160175332 651.631587325
653.661213174 639.36586912 662.917120427 664.530545703 651.668624362
653.661213174 638.934387638 663.267120993 664.900916073 651.705661399
653.661213174 638.502906157 663.617121559 665.271286443 651.742698436
653.661213174 638.071424675 663.967122125 665.641656814 651.779735473
653.661213174 637.639943194 664.31712269 666.012027184 651.81677251
653.661213174 637.208461712 664.667225105 666.380545703 651.853624362
653.661213174 636.776980231 665.017225671 666.750916073 651.890661399
653.661213174 636.345498749 665.367226237 667.121286443 651.927698436
653.661213174 635.914017268 665.717226803 667.491656814 651.964735473
653.661213174 635.482535786 666.067227369 667.862027184 652.00177251
653.661213174 635.051054305 666.417227935 668.232397554 652.038809547
653.661213174 634.619572823 666.767330349 668.600916073 652.075661399
653.661213174 634.188091342 667.117330915 668.971286443 652.112698436
653.661213174 633.75660986 667.467331481 669.341656814 652.149735473
653.661213174 633.325128379 667.817332047 669.712027184 652.18677251
653.661213174 632.893646897 668.167332613 670.082397554 652.223809547
653.661213174 632.462165416 668.517333179 670.452767925 652.260846584
653.661213174 632.030683934 668.867435593 670.821286443 652.297698435
653.661213174 631.599202453 669.217436159 671.191656814 652.334735473
653.661213174 631.167720971 669.567436725 671.562027184 652.37177251
653.661213174 630.73623949 669.917437291 671.932397554 652.408809547
653.661213174 630.304758008 670.267437857 672.302767925 652.445846584
653.661213174 629.873276527 670.617438423 672.673138295 652.482883621
653.661213174 629.441795045 670.967540838 673.041656813 652.519735472
653.661213174 629.010313564 671.317541403 673.412027184 652.556772509
653.661213174 628.578832082 671.667541969 673.782397554 652.593809546
653.661213174 628.147350601 672.017542535 674.152767924 652.630846584
653.661213174 627.715869119 672.367543101 674.523138295 652.667883621
653.661213174 627.284387638 672.717543667 674.893508665 652.704920658
653.661213174 626.852906156 673.067646082 675.262027184 652.741772509
653.661213174 626.421424675 673.417646647 675.632397554 652.778809546
653.661213174 625.989943193 673.767647213 676.002767924 652.815846583
653.661213174 625.558461712 674.117647779 676.373138295 652.85288362
653.661213174 625.12698023 674.467648345 676.743508665 652.889920657
