LIT101 LIT301 LIT401 LS601 LS602
411.677004625 475.904237982 298.965701501 607.878739675 337.52013956
411.524486106 475.602062056 300.706852467 609.723184119 337.704584004
411.367078699 475.2965065 302.456957146 611.573184119 337.889584004
411.209671292 474.990950945 304.207061824 613.423184119 338.074584004
411.052263884 474.685395389 305.957166502 615.273184119 338.259584004
410.894856477 474.379839834 307.70727118 617.123184119 338.444584004
410.73744907 474.074284278 309.457274009 618.975035971 338.629769189
410.580041662 473.768728723 311.207378687 620.825035971 338.814769189
410.422634255 473.463173167 312.957483365 622.67503597 338.999769189
410.265226847 473.157617612 314.707588043 624.52503597 339.184769189
410.10781944 472.852062056 316.457692722 626.37503597 339.369769189
409.950412033 472.5465065 318.2077974 628.22503597 339.55476919
409.793004625 472.240950945 319.957800229 630.076887822 339.739954375
409.635597218 471.935395389 321.707904907 631.926887822 339.924954375
409.478189811 471.629839834 323.458009585 633.776887822 340.109954375
409.320782403 471.324284278 325.208114263 635.626887822 340.294954375
409.163374996 471.018728723 326.958218941 637.476887822 340.479954375
409.005967588 470.713173167 328.708323619 639.326887822 340.664954375
408.848560181 470.407617612 330.458326449 641.178739673 340.85013956
408.691152774 470.102062056 332.208431127 643.028739673 341.03513956
408.533745366 469.796506501 333.958535805 644.878739673 341.22013956
408.376337959 469.490950945 335.708640483 646.728739673 341.40513956
408.218930551 469.18539539 337.458745161 648.578739673 341.59013956
408.061523144 468.879839834 339.208849839 650.428739673 341.77513956
407.904115737 468.574284279 340.958852668 652.280591525 341.960324746
407.746708329 468.268728723 342.708957346 654.130591525 342.145324746
407.589300922 467.963173168 344.459062024 655.980591524 342.330324746
407.431893515 467.657617612 346.209166703 657.830591524 342.515324746
407.274486107 467.352062057 347.959271381 659.680591524 342.700324746
407.1170787 467.046506501 349.709376059 661.530591524 342.885324746
406.959671293 466.740950946 351.459378888 663.382443376 343.070509931
406.802263885 466.43539539 353.209483566 665.232443376 343.255509931
406.644856478 466.129839835 354.959588244 667.082443376 343.440509931
406.48744907 465.824284279 356.709692922 668.932443376 343.625509931
406.330041663 465.518728724 358.4597976 670.782443376 343.810509931
406.172634256 465.213173168 360.209902279 672.632443376 343.995509931
406.015226848 464.907617613 361.959905108 674.484295227 344.180695116
405.857819441 466.75515465 361.861861638 676.334295227 342.536250672
405.700412034 468.607006502 361.760114464 678.184295227 340.86939882
405.543004626 470.458858354 361.65836729 680.034295227 339.202546968
405.385597219 472.310710205 361.556620117 681.884295227 337.535880302
405.228189811 474.162562057 361.454872943 683.734295227 335.869213635
405.070782404 476.014413909 361.353023921 685.586147078 334.202546968
404.913374997 477.866265761 361.251276747 687.436147078 334.013472894
404.755967589 479.718117613 361.149529573 689.286147078 334.198472894
404.598560182 481.569969465 361.0477824 691.136147078 334.38365808
404.441152775 483.421821317 360.946035226 692.986147078 334.568843265
404.283745367 485.273673169 360.844288052 694.836147078 334.753843265
404.12633796 487.125525021 360.74243903 696.687998929 334.93902845
403.968930553 487.687247243 361.748099263 698.537998929 335.12402845
403.811523145 487.381691687 363.498203942 700.387998929 335.309213635
403.654115738 487.076136132 365.24830862 702.237998929 335.49439882
403.496708331 486.770580576 366.998413298 704.087998929 335.67939882
403.339300923 486.465025021 368.748517976 705.937998929 335.864398821
403.181893516 486.159469465 370.498520805 707.789850781 336.049584006
403.024486108 485.85391391 372.248625483 709.639850781 336.234769191
402.867078701 485.548358354 373.998730161 711.48985078 336.419954376
402.709671294 485.242802799 375.748834839 713.33985078 336.604954376
402.552263886 484.937247243 377.498939517 715.18985078 336.789954376
402.394856479 484.631691688 379.249044196 717.03985078 336.975139562
402.237449071 484.326136132 380.999047025 718.891702632 337.160324747
402.080041664 484.020580577 382.749151703 720.741702632 337.345509932
401.922634257 483.715025021 384.499256381 722.591702632 337.530509932
401.765226849 483.409469466 386.249361059 724.441702632 337.715509932
401.607819442 483.10391391 387.999465737 726.291702632 337.900695117
401.450412034 482.798358355 389.749570415 728.141702632 338.085880302
401.293004627 482.492802799 391.499573244 729.993554483 338.271065488
401.13559722 482.187247244 393.249677923 731.843554483 338.456065488
400.978189812 481.881691688 394.999782601 733.693554483 338.641065488
400.820782405 481.576136133 396.749887279 735.543554483 338.826250673
400.663374997 481.270580577 398.499991957 737.393554483 339.011435858
400.50596759 480.965025022 400.250096635 739.243554483 339.196435858
400.348560183 480.659469466 402.000099464 741.095406335 339.381621043
400.191152775 480.353913911 403.750204142 742.945406335 339.566621043
400.033745368 480.048358355 405.50030882 744.795406335 339.751806229
399.876337961 479.7428028 407.250413498 746.645406334 339.936991414
399.718930553 479.437247244 409.000518177 748.495406334 340.121991414
399.561523146 479.131691689 410.750622855 750.345406334 340.306991414
399.404115739 478.826136133 412.500625684 752.197258186 340.492176599
399.246708331 478.520580578 414.250730362 754.047258186 340.677361784
399.089300924 478.215025022 416.00083504 755.897258186 340.86254697
398.931893516 477.909469467 417.750939718 757.747258186 341.04754697
