 Value, Timestamp,,,,,,,,,healthy values,,attacked values
269.2386, 7/7/2015 10:32:25 AM,,,,,,,,,269.8539,,283.0813
269.2386, 7/7/2015 10:32:26 AM,,,,,,,,,269.8539,,283.0813
269.2386, 7/7/2015 10:32:27 AM,,,,,,,,,269.8539,,283.0813
269.2386, 7/7/2015 10:32:28 AM,,,,,,,,,269.8539,,283.0813
269.2386, 7/7/2015 10:32:29 AM,,,,,,,,,269.8539,,283.0813
269.2386, 7/7/2015 10:32:30 AM,,,,,,,,,269.8539,,283.1069
269.2386, 7/7/2015 10:32:31 AM,,,,,,,,,269.8539,,283.1069
269.2386, 7/7/2015 10:32:32 AM,,,,,,,,,269.8539,,283.1069
269.2386, 7/7/2015 10:32:33 AM,,,,,,,,,269.8539,,283.1838
269.2386, 7/7/2015 10:32:34 AM,,,,,,,,,269.8539,,283.1838
269.2386, 7/7/2015 10:32:35 AM,,,,,,,,,269.7001,,283.1838
269.2386, 7/7/2015 10:32:36 AM,,,,,,,,,269.7001,,283.1838
269.2386, 7/7/2015 10:32:37 AM,,,,,,,,,269.7001,,283.1838
269.2386, 7/7/2015 10:32:38 AM,,,,,,,,,269.5206,,283.1838
269.2386, 7/7/2015 10:32:39 AM,,,,,,,,,269.5206,,283.3633
269.2386, 7/7/2015 10:32:40 AM,,,,,,,,,269.5206,,283.3633
269.2386, 7/7/2015 10:32:41 AM,,,,,,,,,269.7257,,283.3633
269.2386, 7/7/2015 10:32:42 AM,,,,,,,,,269.777,,283.3633
269.2386, 7/7/2015 10:32:43 AM,,,,,,,,,269.8282,,283.3633
269.2386, 7/7/2015 10:32:44 AM,,,,,,,,,269.9821,,283.5683
269.2386, 7/7/2015 10:32:45 AM,,,,,,,,,269.9821,,283.5683
269.2386, 7/7/2015 10:32:46 AM,,,,,,,,,269.9821,,283.5683
269.2386, 7/7/2015 10:32:47 AM,,,,,,,,,269.9821,,283.5683
269.2386, 7/7/2015 10:32:48 AM,,,,,,,,,270.264,,283.5683
269.2386, 7/7/2015 10:32:49 AM,,,,,,,,,270.3409,,283.5683
269.2386, 7/7/2015 10:32:50 AM,,,,,,,,,270.3409,,283.5683
269.2386, 7/7/2015 10:32:51 AM,,,,,,,,,270.3409,,283.5683
269.2386, 7/7/2015 10:32:52 AM,,,,,,,,,270.3409,,283.5683
269.2386, 7/7/2015 10:32:53 AM,,,,,,,,,270.3666,,283.5683
269.2386, 7/7/2015 10:32:54 AM,,,,,,,,,270.3666,,283.5683
269.2386, 7/7/2015 10:32:55 AM,,,,,,,,,270.3666,,283.6196
269.2386, 7/7/2015 10:32:56 AM,,,,,,,,,270.3666,,283.7221
269.2386, 7/7/2015 10:32:57 AM,,,,,,,,,270.3666,,283.7221
269.2386, 7/7/2015 10:32:58 AM,,,,,,,,,270.3666,,283.7221
269.2386, 7/7/2015 10:32:59 AM,,,,,,,,,270.0846,,283.7221
269.2386, 7/7/2015 10:33:00 AM,,,,,,,,,270.0846,,283.7221
269.2386, 7/7/2015 10:33:01 AM,,,,,,,,,269.9821,,283.7221
269.2386, 7/7/2015 10:33:02 AM,,,,,,,,,269.9821,,283.7221
269.2386, 7/7/2015 10:33:03 AM,,,,,,,,,269.8539,,283.8246
269.2386, 7/7/2015 10:33:04 AM,,,,,,,,,269.777,,283.9272
269.2386, 7/7/2015 10:33:05 AM,,,,,,,,,269.777,,283.9272
269.2386, 7/7/2015 10:33:06 AM,,,,,,,,,269.6232,,283.9272
269.2386, 7/7/2015 10:33:07 AM,,,,,,,,,269.6232,,283.9272
269.2386, 7/7/2015 10:33:08 AM,,,,,,,,,269.6232,,283.9272
269.2386, 7/7/2015 10:33:09 AM,,,,,,,,,269.6232,,284.1323
269.2386, 7/7/2015 10:33:10 AM,,,,,,,,,269.6232,,284.1323
269.2386, 7/7/2015 10:33:11 AM,,,,,,,,,269.6232,,284.1323
269.2386, 7/7/2015 10:33:12 AM,,,,,,,,,269.6232,,284.1323
269.2386, 7/7/2015 10:33:13 AM,,,,,,,,,269.6232,,284.1323
269.2386, 7/7/2015 10:33:14 AM,,,,,,,,,269.9564,,284.1323
269.2386, 7/7/2015 10:33:15 AM,,,,,,,,,269.9564,,284.1323
269.2386, 7/7/2015 10:33:16 AM,,,,,,,,,269.9564,,284.3117
269.2386, 7/7/2015 10:33:17 AM,,,,,,,,,270.3666,,284.5168
269.2386, 7/7/2015 10:33:18 AM,,,,,,,,,270.4178,,284.5168
269.2386, 7/7/2015 10:33:19 AM,,,,,,,,,270.8793,,284.5168
269.2386, 7/7/2015 10:33:20 AM,,,,,,,,,270.8793,,284.5168
269.2386, 7/7/2015 10:33:21 AM,,,,,,,,,270.8793,,284.5168
269.2386, 7/7/2015 10:33:22 AM,,,,,,,,,271.0331,,284.5168
269.2386, 7/7/2015 10:33:23 AM,,,,,,,,,271.1356,,284.5168
269.2386, 7/7/2015 10:33:24 AM,,,,,,,,,271.315,,284.5168
269.2386, 7/7/2015 10:33:25 AM,,,,,,,,,271.6483,,284.5168
269.2386, 7/7/2015 10:33:26 AM,,,,,,,,,271.6483,,284.5168
269.2386, 7/7/2015 10:33:27 AM,,,,,,,,,271.6483,,284.5168
269.2386, 7/7/2015 10:33:28 AM,,,,,,,,,271.9303,,284.4911
269.2386, 7/7/2015 10:33:29 AM,,,,,,,,,272.1353,,284.3886
269.2386, 7/7/2015 10:33:30 AM,,,,,,,,,272.1353,,284.3886
269.2386, 7/7/2015 10:33:31 AM,,,,,,,,,272.161,,284.3886
269.2386, 7/7/2015 10:33:32 AM,,,,,,,,,272.648,,284.3886
269.2386, 7/7/2015 10:33:33 AM,,,,,,,,,272.648,,284.3886
269.2386, 7/7/2015 10:33:34 AM,,,,,,,,,272.648,,284.3886
269.2386, 7/7/2015 10:33:35 AM,,,,,,,,,272.9813,,284.3886
269.2386, 7/7/2015 10:33:36 AM,,,,,,,,,273.0838,,284.3886
269.2386, 7/7/2015 10:33:37 AM,,,,,,,,,273.0838,,284.3886
269.2386, 7/7/2015 10:33:38 AM,,,,,,,,,273.0838,,284.3886
269.2386, 7/7/2015 10:33:39 AM,,,,,,,,,273.2376,,284.3886
269.2386, 7/7/2015 10:33:40 AM,,,,,,,,,273.5453,,284.3886
269.2386, 7/7/2015 10:33:41 AM,,,,,,,,,273.5453,,284.3886
269.2386, 7/7/2015 10:33:42 AM,,,,,,,,,273.5453,,284.3886
269.2386, 7/7/2015 10:33:43 AM,,,,,,,,,273.5453,,284.3886
269.2386, 7/7/2015 10:33:44 AM,,,,,,,,,273.9297,,284.3886
269.2386, 7/7/2015 10:33:45 AM,,,,,,,,,273.9297,,284.3886
269.2386, 7/7/2015 10:33:46 AM,,,,,,,,,273.9297,,284.3886
269.2386, 7/7/2015 10:33:47 AM,,,,,,,,,273.9297,,284.3886
269.2386, 7/7/2015 10:33:48 AM,,,,,,,,,273.9297,,284.5681
269.2386, 7/7/2015 10:33:49 AM,,,,,,,,,273.9297,,284.645
269.2386, 7/7/2015 10:33:50 AM,,,,,,,,,274.0836,,284.645
269.2386, 7/7/2015 10:33:51 AM,,,,,,,,,274.0836,,284.645
269.2386, 7/7/2015 10:33:52 AM,,,,,,,,,274.3912,,284.645
269.2386, 7/7/2015 10:33:53 AM,,,,,,,,,274.4681,,284.645
269.2386, 7/7/2015 10:33:54 AM,,,,,,,,,274.4681,,284.645
269.2386, 7/7/2015 10:33:55 AM,,,,,,,,,274.4681,,284.645
269.2386, 7/7/2015 10:33:56 AM,,,,,,,,,274.7757,,284.645
269.2386, 7/7/2015 10:33:57 AM,,,,,,,,,274.9551,,284.645
269.2386, 7/7/2015 10:33:58 AM,,,,,,,,,274.9551,,284.645
269.2386, 7/7/2015 10:33:59 AM,,,,,,,,,274.9551,,284.645
269.2386, 7/7/2015 10:34:00 AM,,,,,,,,,275.032,,284.645
269.2386, 7/7/2015 10:34:01 AM,,,,,,,,,275.0833,,284.645
269.2386, 7/7/2015 10:34:02 AM,,,,,,,,,275.3397,,284.645
269.2386, 7/7/2015 10:34:03 AM,,,,,,,,,275.3397,,284.8244
