 Value, Timestamp,,,LIT401,LIT401,LIT401,,,FIT502 differences,FIT502,totalising output flow rate,,, flow rate ,,,pump p401,flow rate,attack,flow rate
1, 21/8/2015 9:06:10 PM,,,200,2,0.5,,,0,1.203663,0,,,0,,,2,1.233124,1,0.001152812
1, 21/8/2015 9:06:11 PM,,,200,2,0.5,,,0.000257,1.20392,1.203663,,,1.203663,,,2,1.212886,1,0.001152812
1, 21/8/2015 9:06:12 PM,,,200,2,0.5,,,-0.007942,1.195978,2.407583,,,1.20392,,,2,1.204816,1,0.001152812
1, 21/8/2015 9:06:13 PM,,,200,2,0.5,,,0.004355,1.200333,3.603561,,,1.195978,,,1,1.191495,2,0.001152812
1, 21/8/2015 9:06:14 PM,,,200,2,0.5,,,-0.009607,1.190726,4.803894,,,1.200333,,,1,1.154733,2,0.001152812
1, 21/8/2015 9:06:15 PM,,,200,2,0.5,,,-0.007045,1.183681,5.99462,,,1.190726,,,1,0.9201998,2,0.05456642
1, 21/8/2015 9:06:16 PM,,,200,2,0.5,,,0.005508,1.189189,7.178301,,,1.183681,,,1,0.5733317,2,0.3285513
1, 21/8/2015 9:06:17 PM,,,200,2,0.5,,,0.00269,1.191879,8.36749,,,1.189189,,,1,0.3477648,2,0.5391316
1, 21/8/2015 9:06:18 PM,,,200,2,0.5,,,0.018573,1.210452,9.559369,,,1.191879,,,1,0.2014858,2,0.6847701
1, 21/8/2015 9:06:19 PM,,,200,2,0.5,,,0.000641,1.211093,10.769821,,,1.210452,,,1,0.1143845,2,0.75855
1, 21/8/2015 9:06:20 PM,,,200,2,0.5,,,-0.003075,1.208018,11.980914,,,1.211093,,,1,0.06173947,2,0.794031
1, 21/8/2015 9:06:21 PM,,,200,2,0.5,,,0.001794,1.209812,13.188932,,,1.208018,,,1,0.03061355,2,0.8222108
1, 21/8/2015 9:06:22 PM,,,200,2,0.5,,,-0.015371,1.194441,14.398744,,,1.209812,,,1,0.009734853,2,0.8738312
