 Value, Timestamp,,,,,,P501,FIT502 flow rare,gallons/hour,gallons/m,totalising output rate
1, 21/8/2015 2:16:59 PM,,,,,200,2,1.173946,310.1213148,5.16868858,0
1, 21/8/2015 2:17:00 PM,,,,,200,2,1.173946,310.1213148,5.16868858,1.173946
1, 21/8/2015 2:17:01 PM,,,,,200,2,1.182785,312.4563135,5.207605224,2.347892
1, 21/8/2015 2:17:02 PM,,,,,200,2,1.183553,312.659196,5.2109866,3.530677
1, 21/8/2015 2:17:03 PM,,,,,200,2,1.177661,311.1027064,5.185045106,4.71423
1, 21/8/2015 2:17:04 PM,,,,,200,2,1.178302,311.2720393,5.187867322,5.891891
1, 21/8/2015 2:17:05 PM,,,,,200,2,1.164852,307.7189528,5.128649214,7.070193
1, 21/8/2015 2:17:06 PM,,,,,200,2,1.162931,307.2114823,5.120191371,8.235045
1, 21/8/2015 2:17:07 PM,,,,,200,2,1.162931,307.2114823,5.120191371,9.397976
1, 21/8/2015 2:17:08 PM,,,,,200,2,1.167798,308.4971977,5.141619961,10.560907
1, 21/8/2015 2:17:09 PM,,,,,200,2,1.174075,310.1553928,5.169256546,11.728705
1, 21/8/2015 2:17:10 PM,,,,,200,2,1.174075,310.1553928,5.169256546,12.90278
1, 21/8/2015 2:17:11 PM,,,,,200,2,1.174075,310.1553928,5.169256546,14.076855
1, 21/8/2015 2:17:12 PM,,,,,200,2,1.165877,307.9897271,5.133162118,15.25093
1, 21/8/2015 2:17:13 PM,,,,,200,2,1.164212,307.549884,5.125831401,16.416807
1, 21/8/2015 2:17:14 PM,,,,,200,2,1.164212,307.549884,5.125831401,17.581019
1, 21/8/2015 2:17:15 PM,,,,,200,2,1.173178,309.9184323,5.165307204,18.745231
1, 21/8/2015 2:17:16 PM,,,,,200,2,1.182272,312.3207942,5.205346571,19.918409
1, 21/8/2015 2:17:17 PM,,,,,200,2,1.183553,312.659196,5.2109866,21.100681
1, 21/8/2015 2:17:18 PM,,,,,200,2,1.183553,312.659196,5.2109866,22.284234
1, 21/8/2015 2:17:19 PM,,,,,200,2,1.183553,312.659196,5.2109866,23.467787
1, 21/8/2015 2:17:20 PM,,,,,200,2,1.173946,310.1213148,5.16868858,24.65134
