Attacked value, Timestamp,,,,,,healthy value
107.3443, 30/6/2015 3:34:00 PM,,,,,,116.797
107.3443, 30/6/2015 3:34:01 PM,,,,,,116.797
107.3443, 30/6/2015 3:34:02 PM,,,,,,116.9892
107.3443, 30/6/2015 3:34:03 PM,,,,,,117.0854
107.3443, 30/6/2015 3:34:04 PM,,,,,,117.0854
107.3443, 30/6/2015 3:34:05 PM,,,,,,117.0854
107.3443, 30/6/2015 3:34:06 PM,,,,,,117.0854
107.3443, 30/6/2015 3:34:07 PM,,,,,,116.7329
107.3443, 30/6/2015 3:34:08 PM,,,,,,116.7329
107.3443, 30/6/2015 3:34:09 PM,,,,,,116.7329
107.3443, 30/6/2015 3:34:10 PM,,,,,,116.7329
107.3443, 30/6/2015 3:34:11 PM,,,,,,116.7329
107.3443, 30/6/2015 3:34:12 PM,,,,,,116.7329
107.3443, 30/6/2015 3:34:13 PM,,,,,,116.6368
107.3443, 30/6/2015 3:34:14 PM,,,,,,116.6368
107.3443, 30/6/2015 3:34:15 PM,,,,,,116.6368
107.3443, 30/6/2015 3:34:16 PM,,,,,,116.8931
107.3443, 30/6/2015 3:34:17 PM,,,,,,116.9572
107.3443, 30/6/2015 3:34:18 PM,,,,,,117.2776
107.3443, 30/6/2015 3:34:19 PM,,,,,,117.2776
107.3443, 30/6/2015 3:34:20 PM,,,,,,117.4058
107.3443, 30/6/2015 3:34:21 PM,,,,,,117.7262
107.3443, 30/6/2015 3:34:22 PM,,,,,,117.7262
107.3443, 30/6/2015 3:34:23 PM,,,,,,117.7262
107.3443, 30/6/2015 3:34:24 PM,,,,,,117.7262
107.3443, 30/6/2015 3:34:25 PM,,,,,,117.7262
107.3443, 30/6/2015 3:34:26 PM,,,,,,117.9185
107.3443, 30/6/2015 3:34:27 PM,,,,,,118.0146
107.3443, 30/6/2015 3:34:28 PM,,,,,,118.0146
107.3443, 30/6/2015 3:34:29 PM,,,,,,118.0146
107.3443, 30/6/2015 3:34:30 PM,,,,,,117.534
107.3443, 30/6/2015 3:34:31 PM,,,,,,117.534
107.3443, 30/6/2015 3:34:32 PM,,,,,,117.6942
107.3443, 30/6/2015 3:34:33 PM,,,,,,118.0146
107.3443, 30/6/2015 3:34:34 PM,,,,,,118.0146
107.3443, 30/6/2015 3:34:35 PM,,,,,,118.0146
107.3443, 30/6/2015 3:34:36 PM,,,,,,117.8544
107.3443, 30/6/2015 3:34:37 PM,,,,,,117.566
107.3443, 30/6/2015 3:34:38 PM,,,,,,117.4699
107.3443, 30/6/2015 3:34:39 PM,,,,,,117.4699
107.3443, 30/6/2015 3:34:40 PM,,,,,,117.6301
107.3443, 30/6/2015 3:34:41 PM,,,,,,117.7583
107.3443, 30/6/2015 3:34:42 PM,,,,,,117.7583
107.3443, 30/6/2015 3:34:43 PM,,,,,,117.7583
107.3763, 30/6/2015 3:34:44 PM,,,,,,117.7583
107.6967, 30/6/2015 3:34:45 PM,,,,,,117.7583
107.6967, 30/6/2015 3:34:46 PM,,,,,,117.7583
107.6967, 30/6/2015 3:34:47 PM,,,,,,117.9505
107.7929, 30/6/2015 3:34:48 PM,,,,,,118.1107
107.7929, 30/6/2015 3:34:49 PM,,,,,,118.335
107.7929, 30/6/2015 3:34:50 PM,,,,,,118.4953
107.152, 30/6/2015 3:34:51 PM,,,,,,118.4953
106.7675, 30/6/2015 3:34:52 PM,,,,,,118.4953
106.3509, 30/6/2015 3:34:53 PM,,,,,,118.4953
105.8062, 30/6/2015 3:34:54 PM,,,,,,118.4953
104.941, 30/6/2015 3:34:55 PM,,,,,,118.4953
104.3002, 30/6/2015 3:34:56 PM,,,,,,118.4953
103.6914, 30/6/2015 3:34:57 PM,,,,,,118.4953
102.9223, 30/6/2015 3:34:58 PM,,,,,,118.7516
102.698, 30/6/2015 3:34:59 PM,,,,,,118.7516
102.0251, 30/6/2015 3:35:00 PM,,,,,,118.7516
102.0251, 30/6/2015 3:35:01 PM,,,,,,118.5273
101.8008, 30/6/2015 3:35:02 PM,,,,,,118.5273
101.6086, 30/6/2015 3:35:03 PM,,,,,,118.5273
101.4804, 30/6/2015 3:35:04 PM,,,,,,118.5273
101.4804, 30/6/2015 3:35:05 PM,,,,,,118.5273
101.4804, 30/6/2015 3:35:06 PM,,,,,,118.8157
101.4804, 30/6/2015 3:35:07 PM,,,,,,118.8157
101.5765, 30/6/2015 3:35:08 PM,,,,,,118.8157
101.5765, 30/6/2015 3:35:09 PM,,,,,,118.8157
101.5765, 30/6/2015 3:35:10 PM,,,,,,118.8157
101.5765, 30/6/2015 3:35:11 PM,,,,,,118.8157
101.16, 30/6/2015 3:35:12 PM,,,,,,118.8157
101.16, 30/6/2015 3:35:13 PM,,,,,,118.8157
101.16, 30/6/2015 3:35:14 PM,,,,,,119.2963
100.8395, 30/6/2015 3:35:15 PM,,,,,,119.2963
100.2948, 30/6/2015 3:35:16 PM,,,,,,119.2963
100.2948, 30/6/2015 3:35:17 PM,,,,,,119.4886
100.2628, 30/6/2015 3:35:18 PM,,,,,,119.4886
99.68598, 30/6/2015 3:35:19 PM,,,,,,119.4886
99.14124, 30/6/2015 3:35:20 PM,,,,,,119.4886
98.8849, 30/6/2015 3:35:21 PM,,,,,,119.6809
98.50038, 30/6/2015 3:35:22 PM,,,,,,119.6809
98.27608, 30/6/2015 3:35:23 PM,,,,,,119.7129
98.212, 30/6/2015 3:35:24 PM,,,,,,119.7129
97.89156, 30/6/2015 3:35:25 PM,,,,,,119.7129
97.89156, 30/6/2015 3:35:26 PM,,,,,,119.7129
97.89156, 30/6/2015 3:35:27 PM,,,,,,119.7129
98.53242, 30/6/2015 3:35:28 PM,,,,,,119.809
98.53242, 30/6/2015 3:35:29 PM,,,,,,119.9372
98.37222, 30/6/2015 3:35:30 PM,,,,,,120.1615
98.11587, 30/6/2015 3:35:31 PM,,,,,,120.1615
98.11587, 30/6/2015 3:35:32 PM,,,,,,120.1615
98.11587, 30/6/2015 3:35:33 PM,,,,,,120.4499
98.01974, 30/6/2015 3:35:34 PM,,,,,,120.514
98.01974, 30/6/2015 3:35:35 PM,,,,,,120.514
97.60318, 30/6/2015 3:35:36 PM,,,,,,120.9626
97.09049, 30/6/2015 3:35:37 PM,,,,,,120.9626
96.8021, 30/6/2015 3:35:38 PM,,,,,,120.9626
96.41759, 30/6/2015 3:35:39 PM,,,,,,120.9626
96.00102, 30/6/2015 3:35:40 PM,,,,,,120.9626
96.00102, 30/6/2015 3:35:41 PM,,,,,,120.9626
95.71264, 30/6/2015 3:35:42 PM,,,,,,120.9626
95.3922, 30/6/2015 3:35:43 PM,,,,,,120.6742
95.16791, 30/6/2015 3:35:44 PM,,,,,,120.6101
95.16791, 30/6/2015 3:35:45 PM,,,,,,120.6101
95.16791, 30/6/2015 3:35:46 PM,,,,,,120.6101
95.16791, 30/6/2015 3:35:47 PM,,,,,,120.6101
95.16791, 30/6/2015 3:35:48 PM,,,,,,120.6101
95.16791, 30/6/2015 3:35:49 PM,,,,,,120.8344
95.16791, 30/6/2015 3:35:50 PM,,,,,,120.9305
95.16791, 30/6/2015 3:35:51 PM,,,,,,121.2189
94.91156, 30/6/2015 3:35:52 PM,,,,,,121.283
94.59113, 30/6/2015 3:35:53 PM,,,,,,121.6034
94.2707, 30/6/2015 3:35:54 PM,,,,,,121.6034
94.2707, 30/6/2015 3:35:55 PM,,,,,,121.6034
93.75801, 30/6/2015 3:35:56 PM,,,,,,121.6034
93.66188, 30/6/2015 3:35:57 PM,,,,,,121.6034
93.66188, 30/6/2015 3:35:58 PM,,,,,,122.0841
93.66188, 30/6/2015 3:35:59 PM,,,,,,122.0841
93.66188, 30/6/2015 3:36:00 PM,,,,,,122.0841
