attacked value ,,,,,,,healthy value,,,attacked value 
103.4991, 5/7/2015 11:40:00 AM,,,,,,116.797,,,103.4991
103.4991, 5/7/2015 11:40:01 AM,,,,,,116.797,,,103.4991
103.4991, 5/7/2015 11:40:02 AM,,,,,,116.9892,,,103.4991
103.4991, 5/7/2015 11:40:03 AM,,,,,,117.0854,,,103.4991
103.4991, 5/7/2015 11:40:04 AM,,,,,,117.0854,,,103.4991
103.4991, 5/7/2015 11:40:05 AM,,,,,,117.0854,,,103.4991
103.4671, 5/7/2015 11:40:06 AM,,,,,,117.0854,,,103.4671
103.403, 5/7/2015 11:40:07 AM,,,,,,116.7329,,,103.403
103.403, 5/7/2015 11:40:08 AM,,,,,,116.7329,,,103.403
103.3389, 5/7/2015 11:40:09 AM,,,,,,116.7329,,,103.3389
103.3389, 5/7/2015 11:40:10 AM,,,,,,116.7329,,,103.3389
103.3389, 5/7/2015 11:40:11 AM,,,,,,116.7329,,,103.3389
103.403, 5/7/2015 11:40:12 AM,,,,,,116.7329,,,103.403
103.5632, 5/7/2015 11:40:13 AM,,,,,,116.6368,,,103.5632
103.5632, 5/7/2015 11:40:14 AM,,,,,,116.6368,,,103.5632
103.7234, 5/7/2015 11:40:15 AM,,,,,,116.6368,,,103.7234
103.7234, 5/7/2015 11:40:16 AM,,,,,,116.8931,,,103.7234
103.7234, 5/7/2015 11:40:17 AM,,,,,,116.9572,,,103.7234
103.7234, 5/7/2015 11:40:18 AM,,,,,,117.2776,,,103.7234
103.403, 5/7/2015 11:40:19 AM,,,,,,117.2776,,,103.403
103.403, 5/7/2015 11:40:20 AM,,,,,,117.4058,,,103.403
103.403, 5/7/2015 11:40:21 AM,,,,,,117.7262,,,103.403
103.403, 5/7/2015 11:40:22 AM,,,,,,117.7262,,,103.403
103.403, 5/7/2015 11:40:23 AM,,,,,,117.7262,,,103.403
103.403, 5/7/2015 11:40:24 AM,,,,,,117.7262,,,103.403
103.403, 5/7/2015 11:40:25 AM,,,,,,117.7262,,,103.403
103.3389, 5/7/2015 11:40:26 AM,,,,,,117.9185,,,103.3389
103.3389, 5/7/2015 11:40:27 AM,,,,,,118.0146,,,103.3389
103.3389, 5/7/2015 11:40:28 AM,,,,,,118.0146,,,103.3389
103.3389, 5/7/2015 11:40:29 AM,,,,,,118.0146,,,103.3389
103.3389, 5/7/2015 11:40:30 AM,,,,,,117.534,,,103.3389
103.3389, 5/7/2015 11:40:31 AM,,,,,,117.534,,,103.3389
103.3389, 5/7/2015 11:40:32 AM,,,,,,117.6942,,,103.3389
103.3389, 5/7/2015 11:40:33 AM,,,,,,118.0146,,,103.3389
103.6914, 5/7/2015 11:40:34 AM,,,,,,118.0146,,,103.6914
103.6914, 5/7/2015 11:40:35 AM,,,,,,118.0146,,,103.6914
103.6914, 5/7/2015 11:40:36 AM,,,,,,117.8544,,,103.6914
103.2428, 5/7/2015 11:40:37 AM,,,,,,117.566,,,103.2428
103.1787, 5/7/2015 11:40:38 AM,,,,,,117.4699,,,103.1787
103.1787, 5/7/2015 11:40:39 AM,,,,,,117.4699,,,103.1787
103.1787, 5/7/2015 11:40:40 AM,,,,,,117.6301,,,103.1787
103.1787, 5/7/2015 11:40:41 AM,,,,,,117.7583,,,103.1787
103.1787, 5/7/2015 11:40:42 AM,,,,,,117.7583,,,103.1787
103.0185, 5/7/2015 11:40:43 AM,,,,,,117.7583,,,103.0185
102.666, 5/7/2015 11:40:44 AM,,,,,,117.7583,,,102.666
102.666, 5/7/2015 11:40:45 AM,,,,,,117.7583,,,102.666
102.3456, 5/7/2015 11:40:46 AM,,,,,,117.7583,,,102.3456
102.3456, 5/7/2015 11:40:47 AM,,,,,,117.9505,,,102.3456
102.2174, 5/7/2015 11:40:48 AM,,,,,,118.1107,,,102.2174
