Server, Tagname, Value, Timestamp, Questionable, Annotated, Substituted
D8CF2232, SWAT_SUTD:RSLinx Enterprise:P2.HMI_FIT201.Pv, 0, 30/6/2015 1:08:00 PM, False, Not Annotated, False
D8CF2232, SWAT_SUTD:RSLinx Enterprise:P2.HMI_FIT201.Pv, 0, 30/6/2015 1:08:01 PM, False, Not Annotated, False
D8CF2232, SWAT_SUTD:RSLinx Enterprise:P2.HMI_FIT201.Pv, 0, 30/6/2015 1:08:02 PM, False, Not Annotated, False
D8CF2232, SWAT_SUTD:RSLinx Enterprise:P2.HMI_FIT201.Pv, 0, 30/6/2015 1:08:03 PM, False, Not Annotated, False
D8CF2232, SWAT_SUTD:RSLinx Enterprise:P2.HMI_FIT201.Pv, 0, 30/6/2015 1:08:04 PM, False, Not Annotated, False
D8CF2232, SWAT_SUTD:RSLinx Enterprise:P2.HMI_FIT201.Pv, 0, 30/6/2015 1:08:05 PM, False, Not Annotated, False
D8CF2232, SWAT_SUTD:RSLinx Enterprise:P2.HMI_FIT201.Pv, 0, 30/6/2015 1:08:06 PM, False, Not Annotated, False
D8CF2232, SWAT_SUTD:RSLinx Enterprise:P2.HMI_FIT201.Pv, 0, 30/6/2015 1:08:07 PM, False, Not Annotated, False
D8CF2232, SWAT_SUTD:RSLinx Enterprise:P2.HMI_FIT201.Pv, 0, 30/6/2015 1:08:08 PM, False, Not Annotated, False
D8CF2232, SWAT_SUTD:RSLinx Enterprise:P2.HMI_FIT201.Pv, 0, 30/6/2015 1:08:09 PM, False, Not Annotated, False
D8CF2232, SWAT_SUTD:RSLinx Enterprise:P2.HMI_FIT201.Pv, 0, 30/6/2015 1:08:10 PM, False, Not Annotated, False
D8CF2232, SWAT_SUTD:RSLinx Enterprise:P2.HMI_FIT201.Pv, 0, 30/6/2015 1:08:11 PM, False, Not Annotated, False
D8CF2232, SWAT_SUTD:RSLinx Enterprise:P2.HMI_FIT201.Pv, 0, 30/6/2015 1:08:12 PM, False, Not Annotated, False
D8CF2232, SWAT_SUTD:RSLinx Enterprise:P2.HMI_FIT201.Pv, 0, 30/6/2015 1:08:13 PM, False, Not Annotated, False
D8CF2232, SWAT_SUTD:RSLinx Enterprise:P2.HMI_FIT201.Pv, 0, 30/6/2015 1:08:14 PM, False, Not Annotated, False
D8CF2232, SWAT_SUTD:RSLinx Enterprise:P2.HMI_FIT201.Pv, 0, 30/6/2015 1:08:15 PM, False, Not Annotated, False
D8CF2232, SWAT_SUTD:RSLinx Enterprise:P2.HMI_FIT201.Pv, 0, 30/6/2015 1:08:16 PM, False, Not Annotated, False
D8CF2232, SWAT_SUTD:RSLinx Enterprise:P2.HMI_FIT201.Pv, 0, 30/6/2015 1:08:17 PM, False, Not Annotated, False
D8CF2232, SWAT_SUTD:RSLinx Enterprise:P2.HMI_FIT201.Pv, 0, 30/6/2015 1:08:18 PM, False, Not Annotated, False
D8CF2232, SWAT_SUTD:RSLinx Enterprise:P2.HMI_FIT201.Pv, 0, 30/6/2015 1:08:19 PM, False, Not Annotated, False
D8CF2232, SWAT_SUTD:RSLinx Enterprise:P2.HMI_FIT201.Pv, 0, 30/6/2015 1:08:20 PM, False, Not Annotated, False
D8CF2232, SWAT_SUTD:RSLinx Enterprise:P2.HMI_FIT201.Pv, 0, 30/6/2015 1:08:21 PM, False, Not Annotated, False
