action step s srep nrtr i bs s_ab fs ls r rrep fr lr br r_ab recv T k l
- 0 0 0 0 0 false false false false 0 0 false false false false false false 0 0
[NewFile] 1 1 0 0 1 false false false false 0 0 false false false false false true 0 0
[aF] 2 2 0 0 1 false false true false 0 0 false false false false false true 1 0
[aG] 3 2 0 0 1 false false true false 1 0 true false false false true true 0 0
receiver 4 2 0 0 1 false false true false 2 0 true false false false true true 0 0
receiver 5 2 0 0 1 false false true false 3 1 true false false false true true 0 0
[aA] 6 2 0 0 1 false false true false 4 1 true false false true true true 0 2
[TO_Ack] 7 3 0 0 1 false false true false 4 1 true false false true true true 0 0
[aF] 8 2 0 1 1 false false true false 4 1 true false false true true true 1 0
[aG] 9 2 0 1 1 false false true false 2 1 true false false true true true 0 0
[aA] 10 2 0 1 1 false false true false 4 1 true false false true true true 0 1
[aB] 11 4 0 1 1 false true true false 4 1 true false false true true true 0 0
sender 12 1 0 1 2 false true true false 4 1 true false false true true true 0 0
[aF] 13 2 0 0 2 true true false false 4 1 true false false true true true 1 0
[aG] 14 2 0 0 2 true true false false 2 1 false false true true true true 0 0
receiver 15 2 0 0 2 true true false false 3 2 false false true true true true 0 0
[aA] 16 2 0 0 2 true true false false 4 2 false false true false true true 0 1
[aB] 17 4 0 0 2 true false false false 4 2 false false true false true true 0 0
sender 18 1 0 0 3 true false false false 4 2 false false true false true true 0 0
[aF] 19 2 0 0 3 false false false false 4 2 false false true false true true 1 0
[aG] 20 2 0 0 3 false false false false 2 2 false false false false true true 0 0
receiver 21 2 0 0 3 false false false false 3 2 false false false false true true 0 0
[aA] 22 2 0 0 3 false false false false 4 2 false false false true true true 0 1
[aB] 23 4 0 0 3 false true false false 4 2 false false false true true true 0 0
sender 24 1 0 0 4 false true false false 4 2 false false false true true true 0 0
[aF] 25 2 0 0 4 true true false false 4 2 false false false true true true 1 0
[aG] 26 2 0 0 4 true true false false 2 2 false false true true true true 0 0
receiver 27 2 0 0 4 true true false false 3 2 false false true true true true 0 0
[aA] 28 2 0 0 4 true true false false 4 2 false false true false true true 0 1
[aB] 29 4 0 0 4 true false false false 4 2 false false true false true true 0 0
sender 30 1 0 0 5 true false false false 4 2 false false true false true true 0 0
[aF] 31 2 0 0 5 false false false false 4 2 false false true false true true 1 0
[aG] 32 2 0 0 5 false false false false 2 2 false false false false true true 0 0
receiver 33 2 0 0 5 false false false false 3 2 false false false false true true 0 0
[aA] 34 2 0 0 5 false false false false 4 2 false false false true true true 0 1
[aB] 35 4 0 0 5 false true false false 4 2 false false false true true true 0 0
sender 36 1 0 0 6 false true false false 4 2 false false false true true true 0 0
[aF] 37 2 0 0 6 true true false false 4 2 false false false true true true 1 0
[aG] 38 2 0 0 6 true true false false 2 2 false false true true true true 0 0
receiver 39 2 0 0 6 true true false false 3 2 false false true true true true 0 0
[aA] 40 2 0 0 6 true true false false 4 2 false false true false true true 0 1
[aB] 41 4 0 0 6 true false false false 4 2 false false true false true true 0 0
sender 42 1 0 0 7 true false false false 4 2 false false true false true true 0 0
[aF] 43 2 0 0 7 false false false false 4 2 false false true false true true 1 0
[aG] 44 2 0 0 7 false false false false 2 2 false false false false true true 0 0
receiver 45 2 0 0 7 false false false false 3 2 false false false false true true 0 0
[aA] 46 2 0 0 7 false false false false 4 2 false false false true true true 0 1
[aB] 47 4 0 0 7 false true false false 4 2 false false false true true true 0 0
sender 48 1 0 0 8 false true false false 4 2 false false false true true true 0 0
[aF] 49 2 0 0 8 true true false false 4 2 false false false true true true 1 0
[aG] 50 2 0 0 8 true true false false 2 2 false false true true true true 0 0
receiver 51 2 0 0 8 true true false false 3 2 false false true true true true 0 0
[aA] 52 2 0 0 8 true true false false 4 2 false false true false true true 0 1
[aB] 53 4 0 0 8 true false false false 4 2 false false true false true true 0 0
sender 54 1 0 0 9 true false false false 4 2 false false true false true true 0 0
[aF] 55 2 0 0 9 false false false false 4 2 false false true false true true 1 0
[aG] 56 2 0 0 9 false false false false 2 2 false false false false true true 0 0
receiver 57 2 0 0 9 false false false false 3 2 false false false false true true 0 0
[aA] 58 2 0 0 9 false false false false 4 2 false false false true true true 0 1
[aB] 59 4 0 0 9 false true false false 4 2 false false false true true true 0 0
sender 60 1 0 0 10 false true false false 4 2 false false false true true true 0 0
[aF] 61 2 0 0 10 true true false false 4 2 false false false true true true 1 0
[aG] 62 2 0 0 10 true true false false 2 2 false false true true true true 0 0
receiver 63 2 0 0 10 true true false false 3 2 false false true true true true 0 0
[aA] 64 2 0 0 10 true true false false 4 2 false false true false true true 0 1
[aB] 65 4 0 0 10 true false false false 4 2 false false true false true true 0 0
sender 66 1 0 0 11 true false false false 4 2 false false true false true true 0 0
[aF] 67 2 0 0 11 false false false false 4 2 false false true false true true 1 0
[aG] 68 2 0 0 11 false false false false 2 2 false false false false true true 0 0
receiver 69 2 0 0 11 false false false false 3 2 false false false false true true 0 0
[aA] 70 2 0 0 11 false false false false 4 2 false false false true true true 0 1
[aB] 71 4 0 0 11 false true false false 4 2 false false false true true true 0 0
sender 72 1 0 0 12 false true false false 4 2 false false false true true true 0 0
[aF] 73 2 0 0 12 true true false false 4 2 false false false true true true 1 0
[aG] 74 2 0 0 12 true true false false 2 2 false false true true true true 0 0
receiver 75 2 0 0 12 true true false false 3 2 false false true true true true 0 0
[aA] 76 2 0 0 12 true true false false 4 2 false false true false true true 0 1
[aB] 77 4 0 0 12 true false false false 4 2 false false true false true true 0 0
sender 78 1 0 0 13 true false false false 4 2 false false true false true true 0 0
[aF] 79 2 0 0 13 false false false false 4 2 false false true false true true 2 0
[TO_Msg] 80 3 0 0 13 false false false false 4 2 false false true false true true 0 0
[aF] 81 2 0 1 13 false false false false 4 2 false false true false true true 1 0
[aG] 82 2 0 1 13 false false false false 2 2 false false false false true true 0 0
receiver 83 2 0 1 13 false false false false 3 2 false false false false true true 0 0
[aA] 84 2 0 1 13 false false false false 4 2 false false false true true true 0 2
[TO_Ack] 85 3 0 1 13 false false false false 4 2 false false false true true true 0 0
[aF] 86 2 0 2 13 false false false false 4 2 false false false true true true 1 0
[aG] 87 2 0 2 13 false false false false 2 2 false false false true true true 0 0
[aA] 88 2 0 2 13 false false false false 4 2 false false false true true true 0 1
[aB] 89 4 0 2 13 false true false false 4 2 false false false true true true 0 0
sender 90 1 0 2 14 false true false false 4 2 false false false true true true 0 0
[aF] 91 2 0 0 14 true true false false 4 2 false false false true true true 1 0
[aG] 92 2 0 0 14 true true false false 2 2 false false true true true true 0 0
receiver 93 2 0 0 14 true true false false 3 2 false false true true true true 0 0
[aA] 94 2 0 0 14 true true false false 4 2 false false true false true true 0 1
[aB] 95 4 0 0 14 true false false false 4 2 false false true false true true 0 0
sender 96 1 0 0 15 true false false false 4 2 false false true false true true 0 0
[aF] 97 2 0 0 15 false false false false 4 2 false false true false true true 2 0
[TO_Msg] 98 3 0 0 15 false false false false 4 2 false false true false true true 0 0
[aF] 99 2 0 1 15 false false false false 4 2 false false true false true true 1 0
[aG] 100 2 0 1 15 false false false false 2 2 false false false false true true 0 0
receiver 101 2 0 1 15 false false false false 3 2 false false false false true true 0 0
[aA] 102 2 0 1 15 false false false false 4 2 false false false true true true 0 1
[aB] 103 4 0 1 15 false true false false 4 2 false false false true true true 0 0
sender 104 1 0 1 16 false true false false 4 2 false false false true true true 0 0
[aF] 105 2 0 0 16 true true false false 4 2 false false false true true true 1 0
[aG] 106 2 0 0 16 true true false false 2 2 false false true true true true 0 0
receiver 107 2 0 0 16 true true false false 3 2 false false true true true true 0 0
[aA] 108 2 0 0 16 true true false false 4 2 false false true false true true 0 1
[aB] 109 4 0 0 16 true false false false 4 2 false false true false true true 0 0
sender 110 1 0 0 17 true false false false 4 2 false false true false true true 0 0
[aF] 111 2 0 0 17 false false false false 4 2 false false true false true true 1 0
[aG] 112 2 0 0 17 false false false false 2 2 false false false false true true 0 0
receiver 113 2 0 0 17 false false false false 3 2 false false false false true true 0 0
[aA] 114 2 0 0 17 false false false false 4 2 false false false true true true 0 1
[aB] 115 4 0 0 17 false true false false 4 2 false false false true true true 0 0
sender 116 1 0 0 18 false true false false 4 2 false false false true true true 0 0
[aF] 117 2 0 0 18 true true false false 4 2 false false false true true true 1 0
[aG] 118 2 0 0 18 true true false false 2 2 false false true true true true 0 0
receiver 119 2 0 0 18 true true false false 3 2 false false true true true true 0 0
[aA] 120 2 0 0 18 true true false false 4 2 false false true false true true 0 1
[aB] 121 4 0 0 18 true false false false 4 2 false false true false true true 0 0
sender 122 1 0 0 19 true false false false 4 2 false false true false true true 0 0
[aF] 123 2 0 0 19 false false false false 4 2 false false true false true true 1 0
[aG] 124 2 0 0 19 false false false false 2 2 false false false false true true 0 0
receiver 125 2 0 0 19 false false false false 3 2 false false false false true true 0 0
[aA] 126 2 0 0 19 false false false false 4 2 false false false true true true 0 1
[aB] 127 4 0 0 19 false true false false 4 2 false false false true true true 0 0
sender 128 1 0 0 20 false true false false 4 2 false false false true true true 0 0
[aF] 129 2 0 0 20 true true false false 4 2 false false false true true true 1 0
[aG] 130 2 0 0 20 true true false false 2 2 false false true true true true 0 0
receiver 131 2 0 0 20 true true false false 3 2 false false true true true true 0 0
[aA] 132 2 0 0 20 true true false false 4 2 false false true false true true 0 1
[aB] 133 4 0 0 20 true false false false 4 2 false false true false true true 0 0
sender 134 1 0 0 21 true false false false 4 2 false false true false true true 0 0
[aF] 135 2 0 0 21 false false false false 4 2 false false true false true true 1 0
[aG] 136 2 0 0 21 false false false false 2 2 false false false false true true 0 0
receiver 137 2 0 0 21 false false false false 3 2 false false false false true true 0 0
[aA] 138 2 0 0 21 false false false false 4 2 false false false true true true 0 1
[aB] 139 4 0 0 21 false true false false 4 2 false false false true true true 0 0
sender 140 1 0 0 22 false true false false 4 2 false false false true true true 0 0
[aF] 141 2 0 0 22 true true false false 4 2 false false false true true true 1 0
[aG] 142 2 0 0 22 true true false false 2 2 false false true true true true 0 0
receiver 143 2 0 0 22 true true false false 3 2 false false true true true true 0 0
[aA] 144 2 0 0 22 true true false false 4 2 false false true false true true 0 2
[TO_Ack] 145 3 0 0 22 true true false false 4 2 false false true false true true 0 0
[aF] 146 2 0 1 22 true true false false 4 2 false false true false true true 1 0
[aG] 147 2 0 1 22 true true false false 2 2 false false true false true true 0 0
[aA] 148 2 0 1 22 true true false false 4 2 false false true false true true 0 1
[aB] 149 4 0 1 22 true false false false 4 2 false false true false true true 0 0
sender 150 1 0 1 23 true false false false 4 2 false false true false true true 0 0
[aF] 151 2 0 0 23 false false false false 4 2 false false true false true true 1 0
[aG] 152 2 0 0 23 false false false false 2 2 false false false false true true 0 0
receiver 153 2 0 0 23 false false false false 3 2 false false false false true true 0 0
[aA] 154 2 0 0 23 false false false false 4 2 false false false true true true 0 1
[aB] 155 4 0 0 23 false true false false 4 2 false false false true true true 0 0
sender 156 1 0 0 24 false true false false 4 2 false false false true true true 0 0
[aF] 157 2 0 0 24 true true false false 4 2 false false false true true true 1 0
[aG] 158 2 0 0 24 true true false false 2 2 false false true true true true 0 0
receiver 159 2 0 0 24 true true false false 3 2 false false true true true true 0 0
[aA] 160 2 0 0 24 true true false false 4 2 false false true false true true 0 1
[aB] 161 4 0 0 24 true false false false 4 2 false false true false true true 0 0
sender 162 1 0 0 25 true false false false 4 2 false false true false true true 0 0
[aF] 163 2 0 0 25 false false false false 4 2 false false true false true true 1 0
[aG] 164 2 0 0 25 false false false false 2 2 false false false false true true 0 0
receiver 165 2 0 0 25 false false false false 3 2 false false false false true true 0 0
[aA] 166 2 0 0 25 false false false false 4 2 false false false true true true 0 1
[aB] 167 4 0 0 25 false true false false 4 2 false false false true true true 0 0
sender 168 1 0 0 26 false true false false 4 2 false false false true true true 0 0
[aF] 169 2 0 0 26 true true false false 4 2 false false false true true true 1 0
[aG] 170 2 0 0 26 true true false false 2 2 false false true true true true 0 0
receiver 171 2 0 0 26 true true false false 3 2 false false true true true true 0 0
[aA] 172 2 0 0 26 true true false false 4 2 false false true false true true 0 1
[aB] 173 4 0 0 26 true false false false 4 2 false false true false true true 0 0
sender 174 1 0 0 27 true false false false 4 2 false false true false true true 0 0
[aF] 175 2 0 0 27 false false false false 4 2 false false true false true true 1 0
[aG] 176 2 0 0 27 false false false false 2 2 false false false false true true 0 0
receiver 177 2 0 0 27 false false false false 3 2 false false false false true true 0 0
[aA] 178 2 0 0 27 false false false false 4 2 false false false true true true 0 1
[aB] 179 4 0 0 27 false true false false 4 2 false false false true true true 0 0
sender 180 1 0 0 28 false true false false 4 2 false false false true true true 0 0
[aF] 181 2 0 0 28 true true false false 4 2 false false false true true true 1 0
[aG] 182 2 0 0 28 true true false false 2 2 false false true true true true 0 0
receiver 183 2 0 0 28 true true false false 3 2 false false true true true true 0 0
[aA] 184 2 0 0 28 true true false false 4 2 false false true false true true 0 1
[aB] 185 4 0 0 28 true false false false 4 2 false false true false true true 0 0
sender 186 1 0 0 29 true false false false 4 2 false false true false true true 0 0
[aF] 187 2 0 0 29 false false false false 4 2 false false true false true true 1 0
[aG] 188 2 0 0 29 false false false false 2 2 false false false false true true 0 0
receiver 189 2 0 0 29 false false false false 3 2 false false false false true true 0 0
[aA] 190 2 0 0 29 false false false false 4 2 false false false true true true 0 1
[aB] 191 4 0 0 29 false true false false 4 2 false false false true true true 0 0
sender 192 1 0 0 30 false true false false 4 2 false false false true true true 0 0
[aF] 193 2 0 0 30 true true false false 4 2 false false false true true true 2 0
[TO_Msg] 194 3 0 0 30 true true false false 4 2 false false false true true true 0 0
[aF] 195 2 0 1 30 true true false false 4 2 false false false true true true 1 0
[aG] 196 2 0 1 30 true true false false 2 2 false false true true true true 0 0
receiver 197 2 0 1 30 true true false false 3 2 false false true true true true 0 0
[aA] 198 2 0 1 30 true true false false 4 2 false false true false true true 0 1
[aB] 199 4 0 1 30 true false false false 4 2 false false true false true true 0 0
sender 200 1 0 1 31 true false false false 4 2 false false true false true true 0 0
[aF] 201 2 0 0 31 false false false false 4 2 false false true false true true 1 0
[aG] 202 2 0 0 31 false false false false 2 2 false false false false true true 0 0
receiver 203 2 0 0 31 false false false false 3 2 false false false false true true 0 0
[aA] 204 2 0 0 31 false false false false 4 2 false false false true true true 0 1
[aB] 205 4 0 0 31 false true false false 4 2 false false false true true true 0 0
sender 206 1 0 0 32 false true false false 4 2 false false false true true true 0 0
[aF] 207 2 0 0 32 true true false true 4 2 false false false true true true 1 0
[aG] 208 2 0 0 32 true true false true 2 2 false true true true true true 0 0
receiver 209 2 0 0 32 true true false true 3 3 false true true true true true 0 0
[aA] 210 2 0 0 32 true true false true 4 3 false true true false true true 0 1
[aB] 211 4 0 0 32 true false false true 4 3 false true true false true true 0 0
sender 212 0 3 0 32 true false false true 4 3 false true true false true true 0 0
