action step c s1 u1 v1 p1 s2 u2 v2 p2 s3 u3 v3 p3 s4 u4 v4 p4 s5 u5 v5 p5
- 0 1 0 false 0 0 0 false 0 0 0 false 0 0 0 false 0 0 0 false 0 0
[pick] 1 1 1 true 1 1 1 true 1 1 1 true 0 0 1 true 1 1 1 true 0 0
[read] 2 2 1 false 1 1 1 true 0 1 1 true 1 0 1 true 0 1 1 true 1 0
[read] 3 3 1 false 0 0 1 false 1 1 1 false 0 0 1 false 1 1 1 true 1 0
[read] 4 4 1 false 1 0 1 false 0 0 1 false 1 0 1 false 1 0 1 false 0 0
[read] 5 4 2 false 0 0 2 false 0 0 2 false 0 0 2 false 0 0 2 false 0 0
[retry] 6 1 0 false 0 0 0 false 0 0 0 false 0 0 0 false 0 0 0 false 0 0
[pick] 7 1 1 true 0 0 1 true 0 0 1 true 1 1 1 true 1 1 1 true 0 0
[read] 8 2 1 false 0 0 1 true 1 0 1 false 1 1 1 true 0 1 1 false 0 0
[read] 9 3 1 false 1 0 1 true 1 0 1 false 0 0 1 true 0 1 1 false 0 0
[read] 10 4 1 false 1 0 1 false 0 0 1 false 0 0 1 true 0 1 1 false 1 0
[read] 11 4 2 false 0 0 2 false 0 0 2 false 0 0 2 false 0 0 2 false 0 0
[retry] 12 1 0 false 0 0 0 false 0 0 0 false 0 0 0 false 0 0 0 false 0 0
[pick] 13 1 1 true 0 0 1 true 0 0 1 true 1 1 1 true 1 1 1 true 1 1
[read] 14 2 1 false 0 0 1 true 1 0 1 false 1 1 1 false 1 1 1 true 0 1
[read] 15 3 1 false 1 0 1 true 1 0 1 false 1 0 1 false 0 0 1 true 0 1
[read] 16 4 1 false 1 0 1 true 1 0 1 false 0 0 1 false 0 0 1 false 1 1
[read] 17 4 2 false 0 0 2 false 0 0 2 false 0 0 2 false 0 0 2 false 0 1
[retry] 18 1 0 false 0 0 0 false 0 0 0 false 0 0 0 false 0 0 0 false 0 0
[pick] 19 1 1 true 1 1 1 true 1 1 1 true 1 1 1 true 0 0 1 true 0 0
[read] 20 2 1 false 1 1 1 false 1 1 1 true 0 1 1 false 0 0 1 true 1 0
[read] 21 3 1 false 1 0 1 false 0 0 1 true 0 1 1 false 1 0 1 true 1 0
[read] 22 4 1 false 0 0 1 false 0 0 1 false 1 1 1 false 1 0 1 true 1 0
[read] 23 4 2 false 0 0 2 false 0 0 2 false 0 1 2 false 0 0 2 false 0 0
[retry] 24 1 0 false 0 0 0 false 0 0 0 false 0 0 0 false 0 0 0 false 0 0
[pick] 25 1 1 true 0 0 1 true 0 0 1 true 1 1 1 true 1 1 1 true 0 0
[read] 26 2 1 false 0 0 1 true 1 0 1 false 1 1 1 true 0 1 1 false 0 0
[read] 27 3 1 false 1 0 1 true 1 0 1 false 0 0 1 true 0 1 1 false 0 0
[read] 28 4 1 false 1 0 1 false 0 0 1 false 0 0 1 true 0 1 1 false 1 0
[read] 29 4 2 false 0 0 2 false 0 0 2 false 0 0 2 false 0 0 2 false 0 0
[retry] 30 1 0 false 0 0 0 false 0 0 0 false 0 0 0 false 0 0 0 false 0 0
[pick] 31 1 1 true 1 1 1 true 0 0 1 true 1 1 1 true 0 0 1 true 0 0
[read] 32 2 1 true 0 1 1 true 1 0 1 true 0 1 1 false 0 0 1 true 1 0
[read] 33 3 1 false 1 1 1 false 0 0 1 true 0 1 1 false 1 0 1 false 0 0
[read] 34 4 1 false 0 0 1 false 0 0 1 false 1 1 1 false 0 0 1 false 1 0
[read] 35 4 2 false 0 0 2 false 0 0 2 false 0 1 2 false 0 0 2 false 0 0
[retry] 36 1 0 false 0 0 0 false 0 0 0 false 0 0 0 false 0 0 0 false 0 0
[pick] 37 1 1 true 1 1 1 true 0 0 1 true 1 1 1 true 1 1 1 true 0 0
[read] 38 2 1 true 0 1 1 true 1 0 1 false 1 1 1 true 0 1 1 true 1 0
[read] 39 3 1 false 1 1 1 true 1 0 1 false 0 0 1 false 1 1 1 false 0 0
[read] 40 4 1 false 1 0 1 false 0 0 1 false 1 0 1 false 0 0 1 false 1 0
[read] 41 4 2 false 0 0 2 false 0 0 2 false 0 0 2 false 0 0 2 false 0 0
[retry] 42 1 0 false 0 0 0 false 0 0 0 false 0 0 0 false 0 0 0 false 0 0
[pick] 43 1 1 true 1 1 1 true 1 1 1 true 0 0 1 true 0 0 1 true 1 1
[read] 44 2 1 false 1 1 1 true 0 1 1 false 0 0 1 true 1 0 1 false 1 1
[read] 45 3 1 false 0 0 1 true 0 1 1 false 1 0 1 true 1 0 1 false 1 0
[read] 46 4 1 false 0 0 1 false 1 1 1 false 1 0 1 true 1 0 1 false 0 0
[read] 47 4 2 false 0 0 2 false 0 1 2 false 0 0 2 false 0 0 2 false 0 0
[retry] 48 1 0 false 0 0 0 false 0 0 0 false 0 0 0 false 0 0 0 false 0 0
[pick] 49 1 1 true 1 1 1 true 0 0 1 true 0 0 1 true 1 1 1 true 1 1
[read] 50 2 1 true 0 1 1 false 0 0 1 true 1 0 1 false 1 1 1 false 1 1
[read] 51 3 1 true 0 1 1 false 1 0 1 true 1 0 1 false 1 0 1 false 0 0
[read] 52 4 1 false 1 1 1 false 1 0 1 true 1 0 1 false 0 0 1 false 0 0
[read] 53 4 2 false 0 1 2 false 0 0 2 false 0 0 2 false 0 0 2 false 0 0
[retry] 54 1 0 false 0 0 0 false 0 0 0 false 0 0 0 false 0 0 0 false 0 0
[pick] 55 1 1 true 1 1 1 true 1 1 1 true 0 0 1 true 1 1 1 true 0 0
[read] 56 2 1 false 1 1 1 true 0 1 1 true 1 0 1 true 0 1 1 true 1 0
[read] 57 3 1 false 0 0 1 false 1 1 1 false 0 0 1 false 1 1 1 true 1 0
[read] 58 4 1 false 1 0 1 false 0 0 1 false 1 0 1 false 1 0 1 false 0 0
[read] 59 4 2 false 0 0 2 false 0 0 2 false 0 0 2 false 0 0 2 false 0 0
[retry] 60 1 0 false 0 0 0 false 0 0 0 false 0 0 0 false 0 0 0 false 0 0
[pick] 61 1 1 true 0 0 1 true 0 0 1 true 0 0 1 true 1 1 1 true 1 1
[read] 62 2 1 false 0 0 1 false 0 0 1 true 1 0 1 false 1 1 1 true 0 1
[read] 63 3 1 false 0 0 1 false 1 0 1 true 1 0 1 false 0 0 1 true 0 1
[read] 64 4 1 false 1 0 1 false 1 0 1 false 0 0 1 false 0 0 1 true 0 1
[read] 65 4 2 false 0 0 2 false 0 0 2 false 0 0 2 false 0 0 2 false 0 0
[retry] 66 1 0 false 0 0 0 false 0 0 0 false 0 0 0 false 0 0 0 false 0 0
[pick] 67 1 1 true 0 0 1 true 0 0 1 true 1 1 1 true 1 1 1 true 1 1
[read] 68 2 1 false 0 0 1 true 1 0 1 false 1 1 1 false 1 1 1 true 0 1
[read] 69 3 1 false 1 0 1 true 1 0 1 false 1 0 1 false 0 0 1 true 0 1
[read] 70 4 1 false 1 0 1 true 1 0 1 false 0 0 1 false 0 0 1 false 1 1
[read] 71 4 2 false 0 0 2 false 0 0 2 false 0 0 2 false 0 0 2 false 0 1
[retry] 72 1 0 false 0 0 0 false 0 0 0 false 0 0 0 false 0 0 0 false 0 0
[pick] 73 1 1 true 0 0 1 true 0 0 1 true 1 1 1 true 0 0 1 true 0 0
[read] 74 2 1 false 0 0 1 true 1 0 1 true 0 1 1 false 0 0 1 false 0 0
[read] 75 3 1 false 1 0 1 false 0 0 1 true 0 1 1 false 0 0 1 false 0 0
[read] 76 4 1 false 0 0 1 false 0 0 1 true 0 1 1 false 0 0 1 false 1 0
[read] 77 4 2 false 0 0 2 false 0 0 2 true 0 0 2 false 0 0 2 false 0 0
[done] 78 4 3 false 0 0 3 false 0 0 3 false 0 0 3 false 0 0 3 false 0 0
[loop] 79 4 3 false 0 0 3 false 0 0 3 false 0 0 3 false 0 0 3 false 0 0
