action step u c s z zx zy x y
- 0 1 0 0 0 0 0 0 0
multiplex 1 1 0 1 0 0 0 0 0
multiplex 2 1 0 2 0 0 0 1 0
multiplex 3 1 0 3 0 0 0 1 1
multiplex 4 1 1 0 0 0 0 0 0
multiplex 5 1 1 1 0 0 0 0 0
multiplex 6 1 1 2 0 0 0 1 0
multiplex 7 1 1 3 0 0 0 1 1
multiplex 8 1 2 0 0 0 0 0 0
multiplex 9 1 2 1 0 0 0 0 0
multiplex 10 1 2 2 0 0 0 1 0
multiplex 11 1 2 3 0 0 0 1 0
multiplex 12 1 3 0 1 0 0 0 0
multiplex 13 1 3 1 1 0 0 0 0
multiplex 14 1 3 2 1 0 0 0 0
multiplex 15 1 3 3 1 0 0 0 1
multiplex 16 1 4 0 2 0 0 0 0
multiplex 17 1 4 1 2 0 0 0 0
multiplex 18 1 4 2 2 0 0 1 0
multiplex 19 1 4 3 2 0 0 1 1
multiplex 20 1 5 0 2 0 0 0 0
multiplex 21 1 5 1 2 0 0 0 0
multiplex 22 1 5 2 2 0 0 1 0
multiplex 23 1 5 3 2 0 0 1 1
multiplex 24 1 6 0 2 0 0 0 0
multiplex 25 1 6 1 2 0 0 0 0
multiplex 26 1 6 2 2 0 0 1 0
multiplex 27 1 6 3 2 0 0 1 1
multiplex 28 1 7 0 2 0 0 0 0
multiplex 29 1 7 1 2 0 0 0 0
multiplex 30 1 7 2 2 0 0 1 0
multiplex 31 1 7 3 2 0 0 1 1
multiplex 32 1 8 0 2 0 0 0 0
multiplex 33 1 8 1 2 0 0 0 0
multiplex 34 1 8 2 2 0 0 1 0
multiplex 35 1 8 3 2 0 0 1 1
multiplex 36 1 9 0 2 0 0 0 0
multiplex 37 1 9 1 2 0 0 0 0
multiplex 38 1 9 2 2 0 0 0 0
multiplex 39 1 9 3 2 0 0 0 1
multiplex 40 1 10 0 3 0 0 0 0
multiplex 41 1 10 1 3 0 0 0 0
multiplex 42 1 10 2 3 0 0 1 0
multiplex 43 1 10 3 3 0 0 1 1
multiplex 44 1 11 0 3 0 0 0 0
multiplex 45 1 11 1 3 0 0 0 0
multiplex 46 1 11 2 3 0 0 1 0
multiplex 47 1 11 3 3 0 0 1 0
multiplex 48 1 12 0 4 0 0 0 0
multiplex 49 1 12 1 4 0 0 0 0
multiplex 50 1 12 2 4 0 0 0 0
multiplex 51 1 12 3 4 0 0 0 1
multiplex 52 1 13 0 5 0 0 0 0
multiplex 53 1 13 1 5 0 0 0 0
multiplex 54 1 13 2 5 0 0 1 0
multiplex 55 1 13 3 5 0 0 1 1
multiplex 56 1 14 0 5 0 0 0 0
multiplex 57 1 14 1 5 0 0 0 0
multiplex 58 1 14 2 5 0 0 1 0
multiplex 59 1 14 3 5 0 0 1 1
multiplex 60 1 15 0 5 0 0 0 0
multiplex 61 1 15 1 5 0 0 0 0
multiplex 62 1 15 2 5 0 0 0 0
multiplex 63 1 15 3 5 0 0 0 1
multiplex 64 1 16 0 6 0 0 0 0
multiplex 65 1 16 1 6 0 0 0 0
multiplex 66 1 16 2 6 0 0 1 0
multiplex 67 1 16 3 6 0 0 1 1
multiplex 68 1 17 0 6 0 0 0 0
multiplex 69 1 17 1 6 0 0 0 0
multiplex 70 1 17 2 6 0 0 1 0
multiplex 71 1 17 3 6 0 0 1 0
multiplex 72 1 18 0 7 0 0 0 0
multiplex 73 1 18 1 7 0 0 0 0
multiplex 74 1 18 2 7 0 0 0 0
multiplex 75 1 18 3 7 0 0 0 1
multiplex 76 1 19 0 8 0 0 0 0
multiplex 77 1 19 1 8 0 0 0 0
multiplex 78 1 19 2 8 0 0 1 0
multiplex 79 1 19 3 8 0 0 1 1
multiplex 80 1 20 0 8 0 0 0 0
multiplex 81 1 20 1 8 0 0 0 0
multiplex 82 1 20 2 8 0 0 1 0
multiplex 83 1 20 3 8 0 0 1 1
multiplex 84 1 21 0 8 0 0 0 0
multiplex 85 1 21 1 8 0 0 0 0
multiplex 86 1 21 2 8 0 0 1 0
multiplex 87 1 21 3 8 0 0 1 1
multiplex 88 1 22 0 8 0 0 0 0
multiplex 89 1 22 1 8 0 0 0 0
multiplex 90 1 22 2 8 0 0 1 0
multiplex 91 1 22 3 8 0 0 1 0
multiplex 92 1 23 0 9 0 0 0 0
multiplex 93 1 23 1 9 0 0 0 0
multiplex 94 1 23 2 9 0 0 1 0
multiplex 95 1 23 3 9 0 0 1 1
multiplex 96 1 24 0 9 0 0 0 0
multiplex 97 1 24 1 9 0 0 0 0
multiplex 98 1 24 2 9 0 0 1 0
multiplex 99 1 24 3 9 0 0 1 1
multiplex 100 1 25 0 9 0 0 0 0
multiplex 101 1 25 1 9 0 0 0 0
multiplex 102 1 25 2 9 0 0 0 0
multiplex 103 1 25 3 9 0 0 0 1
multiplex 104 1 26 0 10 0 0 0 0
multiplex 105 1 26 1 10 0 0 0 0
multiplex 106 1 26 2 10 0 0 1 0
multiplex 107 1 26 3 10 0 0 1 1
multiplex 108 1 27 0 10 0 0 0 0
multiplex 109 1 27 1 10 0 0 0 0
multiplex 110 1 27 2 10 0 0 1 0
multiplex 111 1 27 3 10 0 0 1 1
multiplex 112 1 28 0 10 0 0 0 0
multiplex 113 1 28 1 10 0 0 0 0
multiplex 114 1 28 2 10 0 0 1 0
multiplex 115 1 28 3 10 0 0 1 0
multiplex 116 1 29 0 11 0 0 0 0
multiplex 117 1 29 1 11 0 0 0 0
multiplex 118 1 29 2 11 0 0 1 0
multiplex 119 1 29 3 11 0 0 1 1
multiplex 120 1 30 0 11 0 0 0 0
multiplex 121 1 30 1 11 0 0 0 0
