LIT101 LIT301 LIT401 LS601 LS602
295.782214097 232.076348334 442.533544641 501.397047765 394.81243644
295.782214097 231.008431667 443.399694192 502.315566284 394.904288292
295.782214097 229.929727963 444.314416725 502.519269987 394.924658662
295.782214097 228.85102426 445.240342651 502.519269987 394.924658662
295.782214097 227.772320556 446.166268577 502.519269987 394.924658662
295.782214097 226.693616852 447.092194503 502.519269987 394.924658662
295.782214097 225.614913149 448.018120429 502.519269987 394.924658662
295.782214097 224.536209445 448.944046355 502.519269987 394.924658662
295.782214097 223.457505741 449.869972281 502.519269987 394.924658662
295.782214097 222.378802038 450.795898207 502.519269987 394.924658662
295.782214097 221.300098334 451.721824133 502.519269987 394.924658662
295.782214097 220.22139463 452.647750059 502.519269987 394.924658662
295.782214097 219.142690926 453.573675985 502.519269987 394.924658662
295.782214097 218.063987223 454.499601911 502.519269987 394.924658662
295.782214097 216.985283519 455.425527837 502.519269987 394.924658662
295.782214097 215.906579815 456.351453763 502.519269987 394.924658662
295.782214097 214.827876112 457.277379689 502.519269987 394.924658662
295.782214097 213.749172408 458.203305614 502.519269987 394.924658662
295.782214097 212.670468704 459.12923154 502.519269987 394.924658662
295.782214097 211.591765001 460.055157466 502.519269987 394.924658662
295.782214097 210.513061297 460.981083392 502.519269987 394.924658662
295.782214097 209.434357593 461.907009318 502.519269987 394.924658662
295.782214097 208.355653889 462.832935244 502.519269987 394.924658662
295.782214097 207.276950186 463.75886117 502.519269987 394.924658662
295.782214097 206.198246482 464.684787096 502.519269987 394.924658662
295.782214097 205.119542778 465.610713022 502.519269987 394.924658662
295.782214097 204.040839075 466.536638948 502.519269987 394.924658662
295.782214097 202.962135371 467.462564874 502.519269987 394.924658662
295.782214097 201.883431667 468.3884908 502.519269987 394.924658662
295.782214097 200.804727964 469.314416726 502.519269987 394.924658662
295.782214097 199.72602426 470.240342652 502.519269987 394.924658662
295.782214097 198.647320556 471.166268578 502.519269987 394.924658662
295.782214097 197.568616853 472.092194504 502.519269987 394.924658662
295.782214097 196.489913149 473.01812043 502.519269987 394.924658662
295.782214097 195.411209445 473.944046355 502.519269987 394.924658662
295.782214097 194.332505741 474.869972281 502.519269987 394.924658662
295.782214097 193.253802038 475.795898207 502.519269987 394.924658662
295.782214097 193.249487223 475.799601911 502.519269987 394.066880885
295.782214097 193.249487223 475.799601911 502.519269987 393.187251255
295.782214097 193.249487223 475.799601911 502.519269987 392.307621625
295.782214097 193.249487223 475.799601911 502.519269987 391.427991996
295.782214097 193.249487223 475.799601911 502.519269987 390.548362366
295.782214097 193.249487223 475.799601911 502.519269987 389.668732736
295.782214097 193.249487223 475.799601911 502.519269987 389.526140144
295.782214097 193.249487223 475.799601911 502.519269987 389.57243644
295.782214097 193.249487223 475.799601911 502.519269987 389.618732736
295.782214097 193.249487223 475.799601911 502.519269987 389.665029033
295.782214097 193.249487223 475.799601911 502.519269987 389.711325329
295.782214097 193.249487223 475.799601911 502.519269987 389.757621625
295.782214097 192.606579816 476.351453763 502.519269987 389.803917922
295.782214097 191.527876112 477.277379689 502.519269987 389.850214218
295.782214097 190.449172408 478.203305615 502.519269987 389.896510514
295.782214097 189.370468704 479.129231541 502.519269987 389.942806811
