action step s
- 0 1
rmc16_1 1 3
rmc16_1 2 8
rmc16_1 3 5
rmc16_1 4 2
rmc16_1 5 4
rmc16_1 6 3
rmc16_1 7 12
rmc16_1 8 1
rmc16_1 9 2
rmc16_1 10 3
rmc16_1 11 6
rmc16_1 12 5
rmc16_1 13 2
rmc16_1 14 10
rmc16_1 15 9
rmc16_1 16 7
rmc16_1 17 5
rmc16_1 18 2
rmc16_1 19 13
rmc16_1 20 3
rmc16_1 21 3
rmc16_1 22 8
rmc16_1 23 10
rmc16_1 24 1
rmc16_1 25 2
rmc16_1 26 3
rmc16_1 27 3
rmc16_1 28 3
rmc16_1 29 3
rmc16_1 30 8
rmc16_1 31 3
rmc16_1 32 12
rmc16_1 33 1
rmc16_1 34 2
rmc16_1 35 3
rmc16_1 36 6
rmc16_1 37 1
rmc16_1 38 3
rmc16_1 39 3
rmc16_1 40 8
rmc16_1 41 3
rmc16_1 42 12
rmc16_1 43 3
rmc16_1 44 7
rmc16_1 45 5
rmc16_1 46 2
rmc16_1 47 3
rmc16_1 48 6
rmc16_1 49 14
rmc16_1 50 2
rmc16_1 51 8
rmc16_1 52 10
rmc16_1 53 1
rmc16_1 54 2
rmc16_1 55 3
rmc16_1 56 7
rmc16_1 57 5
rmc16_1 58 2
rmc16_1 59 3
rmc16_1 60 3
rmc16_1 61 3
rmc16_1 62 3
rmc16_1 63 12
rmc16_1 64 1
rmc16_1 65 3
rmc16_1 66 8
rmc16_1 67 3
rmc16_1 68 3
rmc16_1 69 8
rmc16_1 70 3
rmc16_1 71 3
rmc16_1 72 3
rmc16_1 73 7
rmc16_1 74 5
rmc16_1 75 2
rmc16_1 76 3
rmc16_1 77 10
rmc16_1 78 7
rmc16_1 79 5
rmc16_1 80 2
rmc16_1 81 3
rmc16_1 82 12
rmc16_1 83 1
rmc16_1 84 3
rmc16_1 85 3
rmc16_1 86 6
rmc16_1 87 5
rmc16_1 88 2
rmc16_1 89 4
rmc16_1 90 3
rmc16_1 91 6
rmc16_1 92 5
rmc16_1 93 2
rmc16_1 94 8
rmc16_1 95 3
rmc16_1 96 6
rmc16_1 97 5
rmc16_1 98 2
rmc16_1 99 4
rmc16_1 100 3
rmc16_1 101 8
rmc16_1 102 5
rmc16_1 103 2
rmc16_1 104 3
rmc16_1 105 6
rmc16_1 106 5
rmc16_1 107 2
rmc16_1 108 10
rmc16_1 109 5
rmc16_1 110 2
rmc16_1 111 4
rmc16_1 112 3
rmc16_1 113 3
rmc16_1 114 3
rmc16_1 115 3
rmc16_1 116 3
rmc16_1 117 6
rmc16_1 118 5
rmc16_1 119 2
rmc16_1 120 3
rmc16_1 121 12
rmc16_1 122 3
rmc16_1 123 3
rmc16_1 124 6
rmc16_1 125 5
rmc16_1 126 2
rmc16_1 127 3
rmc16_1 128 12
rmc16_1 129 1
rmc16_1 130 2
rmc16_1 131 3
rmc16_1 132 3
rmc16_1 133 10
rmc16_1 134 1
rmc16_1 135 2
rmc16_1 136 8
rmc16_1 137 3
rmc16_1 138 3
rmc16_1 139 3
rmc16_1 140 3
rmc16_1 141 3
rmc16_1 142 8
rmc16_1 143 10
rmc16_1 144 1
rmc16_1 145 2
rmc16_1 146 3
rmc16_1 147 7
rmc16_1 148 5
rmc16_1 149 2
rmc16_1 150 8
rmc16_1 151 3
rmc16_1 152 3
rmc16_1 153 3
rmc16_1 154 12
rmc16_1 155 1
rmc16_1 156 2
rmc16_1 157 3
rmc16_1 158 8
rmc16_1 159 3
rmc16_1 160 3
rmc16_1 161 8
rmc16_1 162 4
rmc16_1 163 3
rmc16_1 164 10
rmc16_1 165 1
rmc16_1 166 2
rmc16_1 167 4
rmc16_1 168 3
rmc16_1 169 3
rmc16_1 170 6
