action step s
- 0 1
rmc20_1 1 1
rmc20_1 2 1
rmc20_1 3 1
rmc20_1 4 1
rmc20_1 5 1
rmc20_1 6 1
rmc20_1 7 2
rmc20_1 8 2
rmc20_1 9 7
rmc20_1 10 1
rmc20_1 11 1
rmc20_1 12 4
rmc20_1 13 1
rmc20_1 14 1
rmc20_1 15 1
rmc20_1 16 1
rmc20_1 17 1
rmc20_1 18 1
rmc20_1 19 1
rmc20_1 20 1
rmc20_1 21 2
rmc20_1 22 6
rmc20_1 23 1
rmc20_1 24 4
rmc20_1 25 6
rmc20_1 26 1
rmc20_1 27 1
rmc20_1 28 1
rmc20_1 29 1
rmc20_1 30 1
rmc20_1 31 1
rmc20_1 32 1
rmc20_1 33 1
rmc20_1 34 1
rmc20_1 35 1
rmc20_1 36 1
rmc20_1 37 1
rmc20_1 38 4
rmc20_1 39 4
rmc20_1 40 3
rmc20_1 41 1
rmc20_1 42 1
rmc20_1 43 1
rmc20_1 44 10
rmc20_1 45 2
rmc20_1 46 6
rmc20_1 47 2
rmc20_1 48 6
rmc20_1 49 1
rmc20_1 50 1
rmc20_1 51 2
rmc20_1 52 6
rmc20_1 53 1
rmc20_1 54 5
rmc20_1 55 1
rmc20_1 56 1
rmc20_1 57 1
rmc20_1 58 2
rmc20_1 59 2
rmc20_1 60 2
rmc20_1 61 7
rmc20_1 62 1
rmc20_1 63 5
rmc20_1 64 1
rmc20_1 65 1
rmc20_1 66 2
rmc20_1 67 7
rmc20_1 68 1
rmc20_1 69 1
rmc20_1 70 1
rmc20_1 71 2
rmc20_1 72 9
rmc20_1 73 2
rmc20_1 74 2
rmc20_1 75 9
rmc20_1 76 3
rmc20_1 77 6
rmc20_1 78 1
rmc20_1 79 1
rmc20_1 80 1
rmc20_1 81 2
rmc20_1 82 13
rmc20_1 83 4
rmc20_1 84 3
rmc20_1 85 4
rmc20_1 86 3
rmc20_1 87 4
rmc20_1 88 5
rmc20_1 89 1
rmc20_1 90 4
rmc20_1 91 3
rmc20_1 92 1
rmc20_1 93 1
rmc20_1 94 1
rmc20_1 95 1
rmc20_1 96 2
rmc20_1 97 2
rmc20_1 98 8
rmc20_1 99 2
rmc20_1 100 2
rmc20_1 101 7
rmc20_1 102 2
rmc20_1 103 9
rmc20_1 104 3
rmc20_1 105 4
rmc20_1 106 3
rmc20_1 107 6
rmc20_1 108 1
rmc20_1 109 2
rmc20_1 110 4
