LIT101 LIT301 LIT401 LS601 LS602
308.939020644 315.157385636 367.697463062 395.22275308 365.999932261
308.865205829 315.053820821 368.563612613 396.141271598 366.826598927
308.786502125 314.94733934 369.438614028 397.067197524 367.659932261
308.707798422 314.840857858 370.313717291 397.991271598 368.491598927
308.629094718 314.734376377 371.188718706 398.917197524 369.324932261
308.550391014 314.627894895 372.063821969 399.841271598 370.156598927
308.471687311 314.521413414 372.938823384 400.767197524 370.989932261
308.392983607 314.414931932 373.813824798 401.69312345 371.823265594
308.314279903 314.308450451 374.688928062 402.617197524 372.654932261
308.235576199 314.20196897 375.563929477 403.54312345 373.488265594
308.156872496 314.095487488 376.43903274 404.467197524 374.319932261
308.078168792 313.989006007 377.314034155 405.39312345 375.153265594
307.999465088 313.882524525 378.189035569 406.319049376 375.986598927
307.920761385 313.776043044 379.064138833 407.24312345 376.818265594
307.842057681 313.669561562 379.939140247 408.169049376 377.651598927
307.763353977 313.563080081 380.814243511 409.09312345 378.483265594
307.684650274 313.456598599 381.689244926 410.019049376 379.316598927
307.60594657 313.350117118 382.564348189 410.94312345 380.148265594
307.527242866 313.243635636 383.439349604 411.869049376 380.981598927
307.448539163 313.137154155 384.314351018 412.794975302 381.814932261
307.369835459 313.030672673 385.189454282 413.719049376 382.646598927
307.291131755 312.924191192 386.064455696 414.644975302 383.479932261
307.212428052 312.81770971 386.93955896 415.569049376 384.311598927
307.133724348 312.711228229 387.814560374 416.494975302 385.144932261
307.055020644 312.604746747 388.689561789 417.420901228 385.978265594
306.97631694 312.498265266 389.564665053 418.344975302 386.809932261
306.897613237 312.391783784 390.439666467 419.270901228 387.643265594
306.818909533 312.285302303 391.314769731 420.194975302 388.474932261
306.740205829 312.178820821 392.189771145 421.120901228 389.308265594
306.661502126 312.07233934 393.064874409 422.044975302 390.139932261
306.582798422 311.965857859 393.939875823 422.970901228 390.973265594
306.504094718 311.859376377 394.814877238 423.896827154 391.806598927
306.425391015 311.752894896 395.689980501 424.820901228 392.638265594
306.346687311 311.646413414 396.564981916 425.746827154 393.471598927
306.267983607 311.539931933 397.44008518 426.670901228 394.303265594
306.189279904 311.433450451 398.315086594 427.596827154 395.136598927
306.1105762 311.32696897 399.190088009 428.52275308 395.969932261
