LIT101 LIT301 LIT401 LS601 LS602
707.64860408 877.6268505 1265.84011989 4572.43470229 824.583709829
707.64860408 877.6268505 1265.78960277 4573.35322081 824.67556168
707.64860408 877.6268505 1265.73867826 4574.27914673 824.768154273
707.64860408 877.6268505 1265.6878556 4575.20322081 824.86056168
707.64860408 877.6268505 1265.63693109 4576.12914673 824.953154273
707.64860408 877.6268505 1265.58610843 4577.05322081 825.04556168
707.64860408 877.6268505 1265.53518392 4577.97914673 825.138154273
707.64860408 877.6268505 1265.4842594 4578.90507266 825.230746865
707.64860408 877.6268505 1265.43343674 4579.82914674 825.323154273
707.64860408 877.6268505 1265.38251223 4580.75507266 825.415746865
707.64860408 877.6268505 1265.33168957 4581.67914674 825.508154272
707.64860408 877.6268505 1265.28076506 4582.60507266 825.600746865
707.64860408 877.6268505 1265.22984054 4583.53099859 825.693339457
707.64860408 877.6268505 1265.17901788 4584.45507266 825.785746865
707.64860408 877.6268505 1265.12809337 4585.38099859 825.878339457
707.64860408 877.6268505 1265.07727071 4586.30507266 825.970746865
707.64860408 877.6268505 1265.0263462 4587.23099859 826.063339457
707.64860408 877.6268505 1264.97552354 4588.15507267 826.155746864
707.64860408 877.6268505 1264.92459902 4589.08099859 826.248339457
707.64860408 877.6268505 1264.87367451 4590.00692452 826.34093205
707.64860408 877.6268505 1264.82285185 4590.93099859 826.433339457
707.64860408 877.6268505 1264.77192734 4591.85692452 826.525932049
707.64860408 877.6268505 1264.72110468 4592.78099859 826.618339457
707.64860408 877.6268505 1264.67018017 4593.70692452 826.710932049
707.64860408 877.6268505 1264.61925565 4594.63285045 826.803524642
707.64860408 877.6268505 1264.56843299 4595.55692452 826.895932049
707.64860408 877.6268505 1264.51750848 4596.48285045 826.988524642
707.64860408 877.6268505 1264.46668582 4597.40692452 827.080932049
707.64860408 877.6268505 1264.41576131 4598.33285045 827.173524642
707.64860408 877.6268505 1264.36493864 4599.25692452 827.265932049
707.64860408 877.6268505 1264.31401413 4600.18285045 827.358524641
707.64860408 877.6268505 1264.26308962 4601.10877638 827.451117234
707.64860408 877.6268505 1264.21226696 4602.03285045 827.543524641
707.64860408 877.6268505 1264.16134245 4602.95877638 827.636117234
707.64860408 877.6268505 1264.11051979 4603.88285045 827.728524641
707.64860408 877.6268505 1264.05959527 4604.80877638 827.821117234
707.64860408 877.6268505 1264.00867076 4605.7347023 827.913709826
707.64860408 877.6268505 1263.9578481 4606.65877638 828.006117233
707.64860408 877.6268505 1263.90692359 4607.5847023 828.098709826
707.64860408 877.6268505 1263.85610093 4608.50877638 828.191117233
707.64860408 877.6268505 1263.80517642 4609.43470231 828.283709826
707.64860408 877.6268505 1263.75435375 4610.35877638 828.376302418
707.64860408 877.6268505 1263.70342924 4611.28470231 828.468895011
707.64860408 877.6268505 1263.65250473 4612.21062823 828.561487603
707.64860408 877.6268505 1263.60168207 4613.13470231 828.654080196
707.64860408 877.6268505 1263.55075756 4614.06062823 828.746672788
707.64860408 877.6268505 1263.49993489 4614.98470231 828.839080196
707.64860408 877.6268505 1263.44901038 4615.91062823 828.931672788
707.64860408 877.6268505 1263.39808587 4616.83655416 829.024265381
707.64860408 877.6268505 1263.34726321 4617.76062824 829.116672788
707.64860408 877.6268505 1263.2963387 4618.68655416 829.209265381
707.64860408 877.6268505 1263.24551604 4619.61062824 829.301857973
707.64860408 877.6268505 1263.19459152 4620.53655416 829.394450566
707.64860408 877.6268505 1263.14376886 4621.46062824 829.487043158
707.64860408 877.6268505 1263.09284435 4622.38655416 829.579635751
707.64860408 877.6268505 1263.04191984 4623.31248009 829.672228343
707.64860408 877.6268505 1262.99109718 4624.23655416 829.764635751
707.64860408 877.6268505 1262.94017267 4625.16248009 829.857228343
707.64860408 877.6268505 1262.88935 4626.08655417 829.949635751
707.64860408 877.6268505 1262.83842549 4627.01248009 830.042228343
707.64860408 877.6268505 1262.78750098 4627.93840602 830.134820936
707.64860408 877.6268505 1262.73667832 4628.86248009 830.227413528
707.64860408 877.6268505 1262.68575381 4629.78840602 830.320006121
707.64860408 877.6268505 1262.63493114 4630.71248009 830.412598713
707.64860408 877.6268505 1262.58400663 4631.63840602 830.505191306
707.64860408 877.6268505 1262.53318397 4632.56248009 830.597598713
707.64860408 877.6268505 1262.48225946 4633.48840602 830.690191306
707.64860408 877.6268505 1262.43133495 4634.41433195 830.782783898
707.64860408 877.6268505 1262.38051229 4635.33840602 830.875191305
707.64860408 877.6268505 1262.32958777 4636.26433195 830.967783898
707.64860408 877.6268505 1262.27876511 4637.18840602 831.06037649
707.64860408 877.6268505 1262.2278406 4638.11433195 831.152969083
707.64860408 877.6268505 1262.17691609 4639.04025787 831.245561675
707.64860408 877.6268505 1262.12609343 4639.96433195 831.338154268
707.64860408 877.6268505 1262.07516892 4640.89025788 831.430746861
707.64860408 877.6268505 1262.02434625 4641.81433195 831.523154268
707.64860408 877.6268505 1261.97342174 4642.74025788 831.61574686
707.64860408 877.6268505 1261.92259908 4643.66433195 831.708154268
707.64860408 877.6268505 1261.87167457 4644.59025788 831.80074686
707.64860408 877.6268505 1261.82075006 4645.5161838 831.893339453
707.64860408 877.6268505 1261.76992739 4646.44025788 831.985932045
707.64860408 877.6268505 1261.71900288 4647.3661838 832.078524638
707.64860408 877.6268505 1261.66818022 4648.29025788 832.17111723
707.64860408 877.6268505 1261.61725571 4649.21618381 832.263709823
707.64860408 877.6268505 1261.5663312 4650.14210973 832.356302415
707.64860408 877.6268505 1261.51550854 4651.06618381 832.448709823
707.64860408 877.6268505 1261.46458402 4651.99210973 832.541302415
707.64860408 877.6268505 1261.41376136 4652.91618381 832.633709823
707.64860408 877.6268505 1261.36283685 4653.84210973 832.726302415
707.64860408 877.6268505 1261.31191234 4654.76803566 832.818895008
707.64860408 877.6268505 1261.26108968 4655.69210973 832.9114876
707.64860408 877.6268505 1261.21016517 4656.61803566 833.004080193
707.64860408 877.6268505 1261.1593425 4657.54210974 833.096672785
707.64860408 877.6268505 1261.10841799 4658.46803566 833.189265378
707.64860408 877.6268505 1261.05759533 4659.39210974 833.281672785
707.64860408 877.6268505 1261.00667082 4660.31803566 833.374265378
707.64860408 877.6268505 1260.95574631 4661.24396159 833.46685797
707.64860408 877.6268505 1260.90492364 4662.16803566 833.559265377
707.64860408 877.6268505 1260.85399913 4663.09396159 833.65185797
707.64860408 877.6268505 1260.80317647 4664.01803566 833.744450563
707.64860408 877.6268505 1260.75225196 4664.94396159 833.837043155
707.64860408 877.6268505 1260.70132745 4665.86988752 833.929635748
707.64860408 877.6268505 1260.65050479 4666.79396159 834.02222834
707.64860408 877.6268505 1260.59958027 4667.71988752 834.114820933
707.64860408 877.6268505 1260.54875761 4668.64396159 834.20722834
707.64860408 877.6268505 1260.4978331 4669.56988752 834.299820932
707.64860408 877.6268505 1260.44701044 4670.49396159 834.39222834
707.64860408 877.6268505 1260.39608593 4671.41988752 834.484820932
707.64860408 877.6268505 1260.34516142 4672.34581345 834.577413525
707.64860408 877.6268505 1260.29433875 4673.26988752 834.670006117
707.64860408 877.6268505 1260.24341424 4674.19581345 834.76259871
707.64860408 877.6268505 1260.19259158 4675.11988752 834.855191302
707.64860408 877.6268505 1260.14166707 4676.04581345 834.947783895
707.64860408 877.6268505 1260.09074256 4676.97173937 835.040376487
707.64860408 877.6268505 1260.03991989 4677.89581345 835.132783895
707.64860408 877.6268505 1259.98899538 4678.82173938 835.225376487
707.64860408 877.6268505 1259.93817272 4679.74581345 835.317783895
707.64860408 877.6268505 1259.88724821 4680.67173938 835.410376487
707.64860408 877.6268505 1259.83642555 4681.59581345 835.50296908
707.64860408 877.6268505 1259.78550104 4682.52173938 835.595561672
