LIT101 LIT301 LIT401 LS601 LS602
651.721977684 654.683841302 650.041891196 652.174744377 653.674870715
651.721977684 654.263146857 650.383039899 652.53770734 653.711167011
651.721977684 653.831665376 650.733040464 652.90807771 653.748204048
651.721977684 653.400183894 651.08304103 653.278448081 653.785241085
651.721977684 652.968702413 651.433041596 653.648818451 653.822278122
651.721977684 652.537220932 651.783042162 654.019188822 653.859315159
651.721977684 652.10573945 652.133042728 654.389559192 653.896352196
651.721977684 651.674257969 652.483145143 654.75807771 653.933204048
651.721977684 651.242776487 652.833145708 655.128448081 653.970241085
651.721977684 650.811295006 653.183146274 655.498818451 654.007278122
651.721977684 650.379813524 653.53314684 655.869188822 654.044315159
651.721977684 649.948332043 653.883147406 656.239559192 654.081352196
651.721977684 649.516850561 654.233147972 656.609929562 654.118389233
651.721977684 649.08536908 654.583250387 656.978448081 654.155241085
651.721977684 648.653887598 654.933250952 657.348818451 654.192278122
651.721977684 648.222406117 655.283251518 657.719188822 654.229315159
651.721977684 647.790924635 655.633252084 658.089559192 654.266352196
651.721977684 647.359443154 655.98325265 658.459929562 654.303389233
651.721977684 646.927961672 656.333253216 658.830299933 654.34042627
651.721977684 646.496480191 656.683355631 659.198818451 654.377278122
651.721977684 646.064998709 657.033356197 659.569188821 654.414315159
651.721977684 645.633517228 657.383356762 659.939559192 654.451352196
651.721977684 645.202035746 657.733357328 660.309929562 654.488389233
651.721977684 644.770554265 658.083357894 660.680299933 654.52542627
651.721977684 644.339072783 658.43335846 661.050670303 654.562463307
651.721977684 643.907591302 658.783460875 661.419188821 654.599315159
651.721977684 643.47610982 659.133461441 661.789559192 654.636352196
651.721977684 643.044628339 659.483462006 662.159929562 654.673389233
651.721977684 642.613146857 659.833462572 662.530299932 654.71042627
651.721977684 642.181665376 660.183463138 662.900670303 654.747463307
651.721977684 641.750183894 660.533463704 663.271040673 654.784500344
651.721977684 641.318702413 660.883566119 663.639559192 654.821352196
651.721977684 640.887220931 661.233566685 664.009929562 654.858389233
651.721977684 640.45573945 661.583567251 664.380299932 654.89542627
651.721977684 640.024257968 661.933567816 664.750670303 654.932463307
651.721977684 639.592776487 662.283568382 665.121040673 654.969500344
651.721977684 639.161295005 662.633568948 665.491411043 655.006537381
651.721977684 638.729813524 662.983671363 665.859929562 655.043389233
651.721977684 638.298332042 663.333671929 666.230299932 655.08042627
651.721977684 637.866850561 663.683672495 666.600670303 655.117463307
651.721977684 637.435369079 664.03367306 666.971040673 655.154500344
651.721977684 637.003887598 664.383673626 667.341411043 655.191537381
651.721977684 636.572406116 664.733674192 667.711781414 655.228574418
651.721977684 636.140924635 665.083776607 668.080299932 655.26542627
651.721977684 635.709443153 665.433777173 668.450670303 655.302463307
651.721977684 635.277961672 665.783777739 668.821040673 655.339500344
651.721977684 634.84648019 666.133778305 669.191411043 655.376537381
651.721977684 634.414998709 666.48377887 669.561781414 655.413574418
651.721977684 633.983517227 666.833779436 669.932151784 655.450611455
651.721977684 633.552035746 667.183881851 670.300670302 655.487463307
651.721977684 633.120554264 667.533882417 670.671040673 655.524500344
651.721977684 632.689072783 667.883882983 671.041411043 655.561537381
651.721977684 632.257591301 668.233883549 671.411781414 655.598574418
651.721977684 631.82610982 668.583884114 671.782151784 655.635611455
651.721977684 631.394628338 668.93388468 672.152522154 655.672648492
651.721977684 630.963146857 669.283987095 672.521040673 655.709500344
651.721977684 630.531665375 669.633987661 672.891411043 655.746537381
651.721977684 630.100183894 669.983988227 673.261781413 655.783574418
651.721977684 629.668702412 670.333988793 673.632151784 655.820611455
651.721977684 629.237220931 670.683989359 674.002522154 655.857648492
