LIT101 LIT301 LIT401 LS601 LS602
462.142520436 432.578587386 380.870620575 384.424916541 641.966976132
461.990001917 432.27641146 382.611771541 386.269360985 642.151420576
461.83259451 431.970855905 384.361876219 388.119360985 642.336420576
461.675187103 431.665300349 386.111980897 389.969360985 642.521420576
461.517779695 431.359744794 387.862085575 391.819360985 642.706420576
461.360372288 431.054189238 389.612190254 393.669360985 642.891420576
461.202964881 430.748633683 391.362193083 395.521212837 643.076605761
461.045557473 430.443078127 393.112297761 397.371212837 643.261605761
460.888150066 430.137522572 394.862402439 399.221212837 643.446605761
460.730742658 429.831967016 396.612507117 401.071212837 643.631605761
460.573335251 429.526411461 398.362611795 402.921212837 643.816605761
460.415927844 429.220855905 400.112716473 404.771212837 644.001605761
460.258520436 428.91530035 401.862719302 406.623064689 644.186790946
460.101113029 428.609744794 403.612823981 408.473064689 644.371790946
459.943705622 428.304189238 405.362928659 410.323064689 644.556790946
459.786298214 427.998633683 407.113033337 412.173064689 644.741790946
459.628890807 427.693078127 408.863138015 414.023064689 644.926790945
459.471483399 427.387522572 410.613242693 415.873064689 645.111790945
459.314075992 427.081967016 412.363245522 417.724916541 645.29697613
459.156668585 426.776411461 414.1133502 419.574916541 645.48197613
458.999261177 426.470855905 415.863454878 421.424916541 645.66697613
458.84185377 426.16530035 417.613559557 423.274916541 645.85197613
458.684446363 425.859744794 419.363664235 425.124916541 646.03697613
458.527038955 425.554189239 421.113768913 426.974916541 646.22197613
458.369631548 425.248633683 422.863771742 428.826768393 646.407161315
458.21222414 424.943078128 424.61387642 430.676768393 646.592161315
458.054816733 424.637522572 426.363981098 432.526768393 646.777161315
457.897409326 424.331967017 428.114085776 434.376768393 646.962161315
457.740001918 424.026411461 429.864190454 436.226768393 647.147161315
457.582594511 423.720855906 431.614295132 438.076768393 647.332161315
457.425187104 423.41530035 433.364297962 439.928620245 647.5173465
457.267779696 423.109744795 435.11440264 441.778620245 647.7023465
457.110372289 422.804189239 436.864507318 443.628620245 647.8873465
456.952964881 422.498633684 438.614611996 445.478620245 648.0723465
456.795557474 422.193078128 440.364716674 447.328620245 648.257346499
456.638150067 421.887522573 442.114821352 449.178620245 648.442346499
456.480742659 421.581967017 443.864824181 451.030472097 648.627531684
456.323335252 423.429504054 443.766780711 452.880472097 646.98308724
456.165927845 425.281355906 443.665033538 454.730472097 645.316235388
456.008520437 427.133207758 443.563286364 456.580472097 643.649383536
455.85111303 428.98505961 443.46153919 458.430472097 641.98271687
455.693705622 430.836911462 443.359792017 460.280472097 640.316050203
455.536298215 432.688763314 443.257942994 462.132323949 638.649383536
455.378890808 434.540615166 443.156195821 463.982323949 638.460309462
455.2214834 436.392467018 443.054448647 465.832323949 638.645309462
455.064075993 438.244318869 442.952701473 467.682323949 638.830494647
454.906668586 440.096170721 442.8509543 469.532323949 639.015679832
454.749261178 441.948022573 442.749207126 471.382323949 639.200679832
454.591853771 443.799874425 442.647358103 473.234175801 639.385865017
454.434446364 444.361596647 443.653018337 475.084175801 639.570865017
454.277038956 444.056041092 445.403123015 476.934175801 639.756050202
454.119631549 443.750485536 447.153227693 478.784175801 639.941235387
453.962224142 443.444929981 448.903332371 480.634175801 640.126235387
453.804816734 443.139374425 450.65343705 482.484175801 640.311235387
453.647409327 442.83381887 452.403439879 484.336027653 640.496420572
453.490001919 442.528263314 454.153544557 486.186027653 640.681605757
453.332594512 442.222707759 455.903649235 488.036027653 640.866790943
453.175187105 441.917152203 457.653753913 489.886027653 641.051790943
453.017779697 441.611596648 459.403858591 491.736027653 641.236790943
452.86037229 441.306041092 461.153963269 493.586027653 641.421976128
452.702964882 441.000485537 462.903966098 495.437879505 641.607161313
452.545557475 440.694929981 464.654070776 497.287879505 641.792346498
452.388150068 440.389374426 466.404175455 499.137879505 641.977346498
452.23074266 440.08381887 468.154280133 500.987879505 642.162346498
452.073335253 439.778263315 469.904384811 502.837879505 642.347531683
451.915927845 439.472707759 471.654489489 504.687879505 642.532716868
451.758520438 439.167152204 473.404492318 506.539731357 642.717902054
451.601113031 438.861596648 475.154596996 508.389731357 642.902902053
451.443705623 438.556041093 476.904701674 510.239731357 643.087902053
451.286298216 438.250485537 478.654806352 512.089731357 643.273087239
451.128890808 437.944929982 480.404911031 513.939731357 643.458272424
450.971483401 437.639374426 482.155015709 515.789731357 643.643272424
450.814075994 437.333818871 483.905018538 517.641583209 643.828457609
450.656668586 437.028263315 485.655123216 519.491583209 644.013457609
450.499261179 436.72270776 487.405227894 521.341583209 644.198642794
450.341853772 436.417152204 489.155332572 523.191583209 644.383827979
450.184446364 436.111596649 490.90543725 525.041583209 644.568827979
450.027038957 435.806041093 492.655541928 526.891583209 644.753827978
449.86963155 435.500485538 494.405544757 528.74343506 644.939013164
449.712224142 435.194929982 496.155649436 530.59343506 645.124198349
449.554816735 434.889374427 497.905754114 532.44343506 645.309383534
449.397409327 434.583818871 499.655858792 534.29343506 645.494383533
449.24000192 434.278263316 501.40596347 536.14343506 645.679383533
449.082594513 433.97270776 503.155966299 537.995286912 645.864568718
448.925187105 433.667152205 504.906070977 539.845286911 646.049753903
448.767779698 435.514689242 504.808027507 541.695286911 644.405309459
448.610372291 437.366541093 504.706280334 543.545286911 642.738457607
448.452964883 439.218392945 504.60453316 545.395286911 641.071605755
448.295557476 441.070244797 504.502785986 547.245286911 639.404939089
448.138150069 442.922096649 504.400936964 549.097138763 637.738272422
447.980742661 444.773948501 504.29918979 550.947138762 636.071605755
447.823335254 446.625800353 504.197442616 552.797138762 635.882531681
447.665927847 448.477652205 504.095695443 554.647138762 636.067531681
447.508520439 450.329504057 503.993948269 556.497138762 636.252716866
447.351113032 452.181355909 503.892201096 558.347138762 636.437902051
447.193705624 454.03320776 503.790352073 560.198990614 636.623087236
447.036298217 455.885059612 503.688604899 562.048990613 636.808087236
446.87889081 456.446781835 504.694265133 563.898990613 636.993087236
446.721483402 456.141226279 506.444369811 565.748990613 637.178272421
446.564075995 455.835670723 508.194474489 567.598990613 637.363457606
446.406668588 455.530115168 509.944579167 569.448990613 637.548457606
446.24926118 455.224559612 511.694581996 571.300842465 637.733642791
446.091853773 454.919004057 513.444686675 573.150842465 637.918642791
445.934446366 454.613448501 515.194791353 575.000842465 638.103827976
445.777038958 454.307892946 516.944896031 576.850842465 638.289013161
445.619631551 454.00233739 518.695000709 578.700842465 638.474013161
445.462224144 453.696781835 520.445105388 580.550842465 638.659013161
445.304816736 453.391226279 522.195108217 582.402694317 638.844198346
445.147409329 453.085670724 523.945212895 584.252694317 639.029383531
444.990001921 452.780115168 525.695317573 586.102694317 639.214568716
444.832594514 452.474559613 527.445422252 587.952694317 639.399568716
444.675187107 452.169004057 529.19552693 589.802694316 639.584568715
444.517779699 451.863448501 530.945631608 591.652694316 639.7697539
444.360372292 451.557892946 532.695634437 593.504546168 639.954939085
