LIT101 LIT301 LIT401 LS601 LS602
582.938282544 582.906125459 320.306684212 278.232523304 417.954549145
582.938282544 582.485431015 320.647832915 278.595486267 417.990845441
582.938282544 582.053949533 320.99783348 278.965856638 418.027882478
582.938282544 581.622468052 321.347834046 279.336227008 418.064919515
582.938282544 581.19098657 321.697834612 279.706597378 418.101956552
582.938282544 580.759505089 322.047835178 280.076967749 418.138993589
582.938282544 580.328023607 322.397835744 280.447338119 418.176030626
582.938282544 579.896542126 322.747938159 280.815856638 418.212882478
582.938282544 579.465060644 323.097938724 281.186227008 418.249919515
582.938282544 579.033579163 323.44793929 281.556597378 418.286956552
582.938282544 578.602097681 323.797939856 281.926967749 418.323993589
582.938282544 578.1706162 324.147940422 282.297338119 418.361030626
582.938282544 577.739134718 324.497940988 282.667708489 418.398067663
582.938282544 577.307653237 324.848043403 283.036227008 418.434919515
582.938282544 576.876171755 325.198043968 283.406597378 418.471956552
582.938282544 576.444690274 325.548044534 283.776967749 418.508993589
582.938282544 576.013208792 325.8980451 284.147338119 418.546030626
582.938282544 575.581727311 326.248045666 284.517708489 418.583067663
582.938282544 575.15024583 326.598046232 284.88807886 418.6201047
582.938282544 574.718764348 326.948148646 285.256597378 418.656956552
582.938282544 574.287282867 327.298149212 285.626967749 418.693993589
582.938282544 573.855801385 327.648149778 285.997338119 418.731030626
582.938282544 573.424319904 327.998150344 286.367708489 418.768067663
582.938282544 572.992838422 328.34815091 286.73807886 418.8051047
582.938282544 572.561356941 328.698151476 287.10844923 418.842141738
582.938282544 572.129875459 329.04825389 287.476967749 418.878993589
582.938282544 571.698393978 329.398254456 287.847338119 418.916030626
582.938282544 571.266912496 329.748255022 288.217708489 418.953067663
582.938282544 570.835431015 330.098255588 288.58807886 418.990104701
582.938282544 570.403949533 330.448256154 288.95844923 419.027141738
582.938282544 569.972468052 330.79825672 289.328819601 419.064178775
582.938282544 569.54098657 331.148359134 289.697338119 419.101030626
582.938282544 569.109505089 331.4983597 290.067708489 419.138067664
582.938282544 568.678023607 331.848360266 290.43807886 419.175104701
582.938282544 568.246542126 332.198360832 290.80844923 419.212141738
582.938282544 567.815060644 332.548361398 291.178819601 419.249178775
582.938282544 567.383579163 332.898361963 291.549189971 419.286215812
