LIT101 LIT301 LIT401 LS601 LS602
261.5804 327.4401 238.0544 200.0 200.0
261.553807407 327.400424074 238.415511111 200.0 200.0
261.522325926 327.357831481 238.785881481 200.0 200.0
261.490844444 327.315238889 239.156251852 200.0 200.0
261.459362963 327.272646296 239.526622222 200.0 200.0
261.427881481 327.230053704 239.896992593 200.0 200.0
261.3964 327.187461111 240.267362963 200.0 200.0
261.364918519 327.144868519 240.637733333 200.0 200.0
261.333437037 327.102275926 241.008103704 200.0 200.0
261.301955556 327.059683333 241.378474074 200.0 200.0
261.270474074 327.017090741 241.748844444 200.0 200.0
261.238992593 326.974498148 242.119214815 200.0 200.0
261.207511111 326.931905556 242.489585185 200.0 200.0
261.17602963 326.889312963 242.859955556 200.0 200.0
261.144548148 326.84672037 243.230325926 200.0 200.0
261.113066667 326.804127778 243.600696296 200.0 200.0
261.081585185 326.761535185 243.971066667 200.0 200.0
261.050103704 326.718942593 244.341437037 200.0 200.0
261.018622222 326.67635 244.711807407 200.0 200.0
260.987140741 326.633757407 245.082177778 200.0 200.0
260.955659259 326.591164815 245.452548148 200.0 200.0
260.924177778 326.548572222 245.822918519 200.0 200.0
260.892696296 326.50597963 246.193288889 200.0 200.0
260.861214815 326.463387037 246.563659259 200.0 200.0
260.829733333 326.420794444 246.93402963 200.0 200.0
260.798251852 326.378201852 247.3044 200.0 200.0
260.76677037 326.335609259 247.67477037 200.0 200.0
260.735288889 326.293016667 248.045140741 200.0 200.0
260.703807408 326.250424074 248.415511111 200.0 200.0
260.672325926 326.207831481 248.785881481 200.0 200.0
260.640844445 326.165238889 249.156251852 200.0 200.0
260.609362963 326.122646296 249.526622222 200.0 200.0
260.577881482 326.080053704 249.896992593 200.0 200.0
260.5464 326.037461111 250.267362963 200.0 200.0
260.514918519 325.994868519 250.637733333 200.0 200.0
260.483437037 325.952275926 251.008103704 200.0 200.0
260.451955556 325.909683333 251.378474074 200.0 200.0
260.420474074 325.867090741 251.748844444 200.0 200.0
260.388992593 325.824498148 252.119214815 200.0 200.0
260.357511111 325.781905556 252.489585185 200.0 200.0
260.32602963 325.739312963 252.859955555 200.0 200.0
260.294548148 325.69672037 253.230325926 200.0 200.0
260.263066667 325.654127778 253.600696296 200.0 200.0
260.231585185 325.611535185 253.971066667 200.0 200.0
260.200103704 325.568942593 254.341437037 200.0 200.0
260.168622222 325.52635 254.711807407 200.0 200.0
260.137140741 325.483757407 255.082177778 200.0 200.0
260.10565926 325.441164815 255.439307775 200.240740741 200.0
260.074177778 325.398572222 255.789308341 200.611111111 200.0
260.042696297 325.35597963 256.139308907 200.981481481 200.0
260.011214815 325.313387037 256.489309473 201.351851852 200.0
259.979733334 325.270794444 256.839310038 201.722222222 200.0
259.948251852 325.228201852 257.189310604 202.092592593 200.0
259.916770371 325.185609259 257.539413019 202.461111111 200.0
259.885288889 325.143016667 257.889413585 202.831481481 200.0
259.853807408 325.100424074 258.239414151 203.201851852 200.0
259.822325926 325.057831482 258.589414716 203.572222222 200.0
259.790844445 325.015238889 258.939415282 203.942592593 200.0
259.759362963 324.972646296 259.289415848 204.312962963 200.0
259.727881482 324.930053704 259.639518263 204.681481481 200.000000001
